date,code,spot,futures
2013/1/24,ÃÞ»¨,19276.2,19785
2013/1/24,×ØéµÓÍ,6300,6720
2013/1/24,Ïð½º,25241.7,25640
2013/1/24,½¹Ì¿,1666.25,1865
2013/1/24,È¼ÓÍ,5145,5133
2013/1/24,ÓñÃ×,2369.09,2417
2013/1/24,²£Á§,1347.2,1467
2013/1/24,¼×´¼,3000,2913
2013/1/24,°×ÌÇ,5900,5435
2013/1/24,°×Òø,6458.33,6602
2013/1/24,Ïß²Ä,3600,3975
2013/1/24,¾ÛÒÒÏ©,11033.3,10700
2013/1/24,²ËÓÍ,10720,9880
2013/1/24,²Ë×Ñ,5251,5351
2013/1/24,²ËÆÉ,2580.67,2493
2013/1/24,ÂÝÎÆ¸Ö,3785.71,4032
2013/1/24,¶¹Ò»,4530,4819
2013/1/24,¶¹ÓÍ,8925.83,8688
2013/1/24,¶¹ÆÉ,3941,3358
2013/1/24,Ç¦,14775,15100
2013/1/24,Í­,57910,58430
2013/1/24,ÂÁ,14920,15125
2013/1/24,Ð¿,15750,15470
2013/1/24,»Æ½ð,337.96,341.73
2013/1/25,PTA,8700,8542
2013/1/25,PVC,6482.29,6690
2013/1/25,ÆÕÂó,2565,2479
2013/1/25,ÃÞ»¨,19270,19870
2013/1/25,×ØéµÓÍ,6300,6724
2013/1/25,Ïð½º,25266.7,25565
2013/1/25,½¹Ì¿,1666.25,1872
2013/1/25,È¼ÓÍ,5145,5067
2013/1/25,ÓñÃ×,2368.18,2419
2013/1/25,²£Á§,1347.2,1469
2013/1/25,¼×´¼,3000,2926
2013/1/25,°×ÌÇ,5900,5412
2013/1/25,°×Òø,6363.33,6573
2013/1/25,Ïß²Ä,3603.75,3963
2013/1/25,¾ÛÒÒÏ©,11016.7,10740
2013/1/25,²ËÓÍ,10720,9912
2013/1/25,²Ë×Ñ,5280,5380
2013/1/25,²ËÆÉ,2580.67,2504
2013/1/25,ÂÝÎÆ¸Ö,3787.86,4076
2013/1/25,¶¹Ò»,4530,4832
2013/1/25,¶¹ÓÍ,8925.83,8736
2013/1/25,¶¹ÆÉ,3941,3383
2013/1/25,Ç¦,14825,15190
2013/1/25,Í­,57910,58830
2013/1/25,ÂÁ,14920,15125
2013/1/25,Ð¿,15800,15635
2013/1/25,»Æ½ð,335.25,340.1
2013/1/28,PTA,8700,8626
2013/1/28,PVC,6492.86,6710
2013/1/28,ÆÕÂó,2574,2462
2013/1/28,ÃÞ»¨,19262.2,19875
2013/1/28,×ØéµÓÍ,6300,6724
2013/1/28,Ïð½º,25172.7,25595
2013/1/28,½¹Ì¿,1681.25,1869
2013/1/28,È¼ÓÍ,5145,5100
2013/1/28,ÓñÃ×,2369.09,2424
2013/1/28,²£Á§,1347.2,1491
2013/1/28,¼×´¼,3000,2923
2013/1/28,°×ÌÇ,5880,5328
2013/1/28,°×Òø,6316.67,6503
2013/1/28,Ïß²Ä,3611.25,4001
2013/1/28,¾ÛÒÒÏ©,11016.7,10885
2013/1/28,²ËÓÍ,10730,9932
2013/1/28,²Ë×Ñ,5288,5388
2013/1/28,²ËÆÉ,2586,2521
2013/1/28,ÂÝÎÆ¸Ö,3800,4068
2013/1/28,¶¹Ò»,4530,4851
2013/1/28,¶¹ÓÍ,8911.67,8746
2013/1/28,¶¹ÆÉ,3934,3429
2013/1/28,Ç¦,14825,15140
2013/1/28,Í­,57940,58620
2013/1/28,ÂÁ,14910,15075
2013/1/28,Ð¿,15800,15570
2013/1/28,»Æ½ð,334.38,338.47
2013/1/29,PTA,8750,8644
2013/1/29,PVC,6493.43,6710
2013/1/29,ÆÕÂó,2578,2462
2013/1/29,ÃÞ»¨,19259.8,20385
2013/1/29,×ØéµÓÍ,6307.5,6702
2013/1/29,Ïð½º,25109.1,25955
2013/1/29,½¹Ì¿,1681.25,1886
2013/1/29,È¼ÓÍ,5145,5151
2013/1/29,ÓñÃ×,2368.64,2422
2013/1/29,²£Á§,1347.2,1488
2013/1/29,¼×´¼,3010,2941
2013/1/29,°×ÌÇ,5860,5340
2013/1/29,°×Òø,6296.67,6516
2013/1/29,Ïß²Ä,3613.75,3981
2013/1/29,¾ÛÒÒÏ©,11033.3,10990
2013/1/29,²ËÓÍ,10730,9932
2013/1/29,²Ë×Ñ,5281,5381
2013/1/29,²ËÆÉ,2586,2515
2013/1/29,ÂÝÎÆ¸Ö,3796.92,4069
2013/1/29,¶¹Ò»,4530,4847
2013/1/29,¶¹ÓÍ,8911.67,8684
2013/1/29,¶¹ÆÉ,3934,3419
2013/1/29,Ç¦,14825,15150
2013/1/29,Í­,57915,58850
2013/1/29,ÂÁ,14900,15080
2013/1/29,Ð¿,15800,15625
2013/1/29,»Æ½ð,334.19,339.07
2013/1/30,PTA,8750,8676
2013/1/30,PVC,6498,6745
2013/1/30,ÆÕÂó,2578,2462
2013/1/30,ÃÞ»¨,19262.2,20325
2013/1/30,×ØéµÓÍ,6312.5,6756
2013/1/30,Ïð½º,25200,26180
2013/1/30,½¹Ì¿,1681.25,1885
2013/1/30,È¼ÓÍ,5145,5220
2013/1/30,ÓñÃ×,2370.45,2424
2013/1/30,²£Á§,1347.2,1579
2013/1/30,¼×´¼,3050,2962
2013/1/30,°×ÌÇ,5852,5372
2013/1/30,°×Òø,6331.67,6538
2013/1/30,Ïß²Ä,3647.5,3908
2013/1/30,¾ÛÒÒÏ©,11033.3,11020
2013/1/30,²ËÓÍ,10730,9958
2013/1/30,²Ë×Ñ,5305,5405
2013/1/30,²ËÆÉ,2586,2531
2013/1/30,ÂÝÎÆ¸Ö,3794.12,4114
2013/1/30,¶¹Ò»,4530,4862
2013/1/30,¶¹ÓÍ,8905,8734
2013/1/30,¶¹ÆÉ,3935,3484
2013/1/30,Ç¦,14875,15200
2013/1/30,Í­,58430,59260
2013/1/30,ÂÁ,14920,15215
2013/1/30,Ð¿,16000,15925
2013/1/30,»Æ½ð,335.2,339.5
2013/1/31,PTA,8750,8656
2013/1/31,PVC,6496.86,6735
2013/1/31,ÆÕÂó,2578,2460
2013/1/31,ÃÞ»¨,19266.2,20275
2013/1/31,×ØéµÓÍ,6312.5,6836
2013/1/31,Ïð½º,25333.3,26285
2013/1/31,½¹Ì¿,1681.25,1902
2013/1/31,È¼ÓÍ,5145,5204
2013/1/31,ÓñÃ×,2365.91,2424
2013/1/31,²£Á§,1347.2,1585
2013/1/31,¼×´¼,3049,2939
2013/1/31,°×ÌÇ,5846,5435
2013/1/31,°×Òø,6410,6666
2013/1/31,Ïß²Ä,3651.67,4043
2013/1/31,¾ÛÒÒÏ©,11058.3,11065
2013/1/31,²ËÓÍ,10730,9992
2013/1/31,²Ë×Ñ,5326,5426
2013/1/31,²ËÆÉ,2590.67,2537
2013/1/31,ÂÝÎÆ¸Ö,3789.38,4127
2013/1/31,¶¹Ò»,4530,4855
2013/1/31,¶¹ÓÍ,8905,8820
2013/1/31,¶¹ÆÉ,3935,3508
2013/1/31,Ç¦,14925,15300
2013/1/31,Í­,58620,59690
2013/1/31,ÂÁ,14940,15250
2013/1/31,Ð¿,16150,16150
2013/1/31,»Æ½ð,337.35,341.3
2013/2/1,PTA,8750,8706
2013/2/1,PVC,6496.29,6725
2013/2/1,ÆÕÂó,2565,2477
2013/2/1,ÃÞ»¨,19278.5,20130
2013/2/1,×ØéµÓÍ,6337.5,6864
2013/2/1,Ïð½º,25341.7,26465
2013/2/1,½¹Ì¿,1681.25,1904
2013/2/1,È¼ÓÍ,5145,5225
2013/2/1,ÓñÃ×,2365.91,2425
2013/2/1,²£Á§,1348.8,1594
2013/2/1,¼×´¼,3050,2944
2013/2/1,°×ÌÇ,5846,5469
2013/2/1,°×Òø,6408.33,6556
2013/2/1,Ïß²Ä,3648,4043
2013/2/1,¾ÛÒÒÏ©,11058.3,11140
2013/2/1,²ËÓÍ,10735,9974
2013/2/1,²Ë×Ñ,5318,5418
2013/2/1,²ËÆÉ,2590.67,2521
2013/2/1,ÂÝÎÆ¸Ö,3793.89,4168
2013/2/1,¶¹Ò»,4530,4854
2013/2/1,¶¹ÓÍ,8940,8852
2013/2/1,¶¹ÆÉ,3993,3521
2013/2/1,Ç¦,14925,15180
2013/2/1,Í­,58680,59660
2013/2/1,ÂÁ,14920,15205
2013/2/1,Ð¿,16150,16045
2013/2/1,»Æ½ð,334.6,338.67
2013/2/4,PTA,8800,8848
2013/2/4,PVC,6494.57,6755
2013/2/4,ÆÕÂó,2565,2477
2013/2/4,ÃÞ»¨,19278.5,20200
2013/2/4,×ØéµÓÍ,6400,6854
2013/2/4,Ïð½º,25516.7,26780
2013/2/4,½¹Ì¿,1681.25,1920
2013/2/4,È¼ÓÍ,5145,5300
2013/2/4,ÓñÃ×,2367.73,2424
2013/2/4,²£Á§,1348.8,1632
2013/2/4,¼×´¼,3069,2968
2013/2/4,°×ÌÇ,5838,5458
2013/2/4,°×Òø,6386.67,6607
2013/2/4,Ïß²Ä,3648,4014
2013/2/4,¾ÛÒÒÏ©,11075,11360
2013/2/4,²ËÓÍ,10740,9978
2013/2/4,²Ë×Ñ,5334,5434
2013/2/4,²ËÆÉ,2590.67,2561
2013/2/4,ÂÝÎÆ¸Ö,3793.89,4221
2013/2/4,¶¹Ò»,4530,4841
2013/2/4,¶¹ÓÍ,8952.5,8896
2013/2/4,¶¹ÆÉ,4007,3503
2013/2/4,Ç¦,15000,15270
2013/2/4,Í­,59090,59950
2013/2/4,ÂÁ,14920,15220
2013/2/4,Ð¿,16300,16170
2013/2/4,»Æ½ð,336.67,340.15
2013/2/5,PTA,8800,8790
2013/2/5,PVC,6497.43,6730
2013/2/5,ÆÕÂó,2565,2476
2013/2/5,ÃÞ»¨,19278.5,20175
2013/2/5,×ØéµÓÍ,6437.5,7156
2013/2/5,Ïð½º,25550,26810
2013/2/5,½¹Ì¿,1681.25,1912
2013/2/5,È¼ÓÍ,5150,5232
2013/2/5,ÓñÃ×,2367.73,2468
2013/2/5,²£Á§,1348.8,1635
2013/2/5,¼×´¼,3069,2943
2013/2/5,°×ÌÇ,5834,5428
2013/2/5,°×Òø,6396.67,6618
2013/2/5,Ïß²Ä,3648,4106
2013/2/5,¾ÛÒÒÏ©,11075,11355
2013/2/5,²ËÓÍ,10740,9904
2013/2/5,²Ë×Ñ,5313,5413
2013/2/5,²ËÆÉ,2590.67,2586
2013/2/5,ÂÝÎÆ¸Ö,3793.89,4140
2013/2/5,¶¹Ò»,4530,4833
2013/2/5,¶¹ÓÍ,8952.5,8822
2013/2/5,¶¹ÆÉ,4007,3512
2013/2/5,Ç¦,14975,15190
2013/2/5,Í­,58900,59750
2013/2/5,ÂÁ,14880,15275
2013/2/5,Ð¿,16200,15985
2013/2/5,»Æ½ð,337,341.85
2013/2/6,PTA,8800,8802
2013/2/6,PVC,6497.43,6685
2013/2/6,ÆÕÂó,2565,2453
2013/2/6,ÃÞ»¨,19278.5,20020
