date,close,USDA：玉米：产量预测值：中国（月）,USDA：玉米：出口数量预测值：中国（月）,USDA：玉米：国内需求消费量预测值：中国（月）,USDA：玉米：进口数量预测值：中国（月）,USDA：玉米：库存消费比预测：中国（月）,USDA：玉米：期初库存预测：中国（月）,USDA：玉米：期末库存预测：中国（月）,USDA：玉米：饲料消费量预测值：中国（月）,氨基酸加工企业：玉米：消费量（周）,玉米淀粉加工企业：玉米：消费量（周）,玉米酒精加工企业：玉米：消费量（周）,主要深加工企业：玉米：消费量（周）,国家粮食和物资储备局：玉米：收购量：中国（日）,玉米：港口库存：中国（周）,主要深加工企业：玉米：库存：中国（周）,USDA：玉米：期初库存预测：美国（月）,USDA：玉米：期末库存预测：美国（月）
"2016-04-11","1435","","","","","","","","","","","","","","","","",""
"2016-04-12","1443","","","","","","","","","","","","","","","","",""
"2016-04-13","1452","","","","","","","","","","","","","","","","",""
"2016-04-14","1482","","","","","","","","","","","","","","","","",""
"2016-04-15","1460","","","","","","","","","","","","","16134","293.8","","",""
"2016-04-18","1481","","","","","","","","","","","","","","","","",""
"2016-04-19","1490","","","","","","","","","","","","","","","","",""
"2016-04-20","1530","","","","","","","","","","","","","16447","","","",""
"2016-04-21","1579","","","","","","","","","","","","","","","","",""
"2016-04-22","1666","","","","","","","","","","","","","","296.4","","",""
"2016-04-25","1527","","","","","","","","","","","","","16900","","","",""
"2016-04-26","1543","","","","","","","","","","","","","","","","",""
"2016-04-27","1524","","","","","","","","","","","","","","","","",""
"2016-04-28","1519","","","","","","","","","","","","","","","","",""
"2016-04-29","1514","","","","","","","","","","","","","","312","","",""
"2016-04-30","","224.58","0.05","218","2.5","50.22","100.46","109.49","154","","","","","17266","","","43.97","47.29"
"2016-05-03","1544","","","","","","","","","","","","","","","","",""
"2016-05-04","1531","","","","","","","","","","","","","","","","",""
"2016-05-05","1525","","","","","","","","","","","","","","","","",""
"2016-05-06","1515","","","","","","","","","","","","","","313.8","","",""
"2016-05-09","1514","","","","","","","","","","","","","","","","",""
"2016-05-10","1512","","","","","","","","","","","","","","","","",""
"2016-05-11","1559","","","","","","","","","","","","","","","","",""
"2016-05-12","1543","","","","","","","","","","","","","","","","",""
"2016-05-13","1537","","","","","","","","","","","","","","300","","",""
"2016-05-16","1539","","","","","","","","","","","","","","","","",""
"2016-05-17","1551","","","","","","","","","","","","","","","","",""
"2016-05-18","1539","","","","","","","","","","","","","","","","",""
"2016-05-19","1549","","","","","","","","","","","","","","","","",""
"2016-05-20","1544","","","","","","","","","","","","","","298.2","","",""
"2016-05-23","1532","","","","","","","","","","","","","","","","",""
"2016-05-24","1529","","","","","","","","","","","","","","","","",""
"2016-05-25","1527","","","","","","","","","","","","","","","","",""
"2016-05-26","1548","","","","","","","","","","","","","","","","",""
"2016-05-27","1564","","","","","","","","","","","","","","289.4","","",""
"2016-05-30","1622","","","","","","","","","","","","","","","","",""
"2016-05-31","1615","218","0.02","227","1","44.71","109.52","101.5","160","","","","","","","","45.79","54.68"
"2016-06-01","1614","","","","","","","","","","","","","","","","",""
"2016-06-02","1611","","","","","","","","","","","","","","","","",""
"2016-06-03","1613","","","","","","","","","","","","","","285.6","","",""
"2016-06-06","1626","","","","","","","","","","","","","","","","",""
"2016-06-07","1626","","","","","","","","","","","","","","","","",""
"2016-06-08","1615","","","","","","","","","","","","","","","","",""
"2016-06-10","","","","","","","","","","","","","","","285.5","","",""
"2016-06-13","1669","","","","","","","","","","","","","","","","",""
"2016-06-14","1665","","","","","","","","","","","","","","","","",""
"2016-06-15","1606","","","","","","","","","","","","","","","","",""
"2016-06-16","1576","","","","","","","","","","","","","","","","",""
"2016-06-17","1588","","","","","","","","","","","","","","250.3","","",""
"2016-06-20","1592","","","","","","","","","","","","","","","","",""
"2016-06-21","1585","","","","","","","","","","","","","","","","",""
"2016-06-22","1575","","","","","","","","","","","","","","","","",""
"2016-06-23","1556","","","","","","","","","","","","","","","","",""
"2016-06-24","1542","","","","","","","","","","","","","","233.6","","",""
"2016-06-27","1551","","","","","","","","","","","","","","","","",""
"2016-06-28","1567","","","","","","","","","","","","","","","","",""
"2016-06-29","1566","","","","","","","","","","","","","","","","",""
"2016-06-30","1581","218","0.02","227","1","44.71","109.52","101.5","160","","","","","","","","43.38","51"
"2016-07-01","1550","","","","","","","","","","","","","","233.5","","",""
"2016-07-04","1583","","","","","","","","","","","","","","","","",""
"2016-07-05","1537","","","","","","","","","","","","","","","","",""
"2016-07-06","1518","","","","","","","","","","","","","","","","",""
"2016-07-07","1510","","","","","","","","","","","","","","","","",""
"2016-07-08","1523","","","","","","","","","","","","","","254.5","","",""
"2016-07-11","1532","","","","","","","","","","","","","","","","",""
"2016-07-12","1525","","","","","","","","","","","","","","","","",""
"2016-07-13","1526","","","","","","","","","","","","","","","","",""
"2016-07-14","1528","","","","","","","","","","","","","","","","",""
"2016-07-15","1514","","","","","","","","","","","","","","251.1","","",""
"2016-07-18","1481","","","","","","","","","","","","","","","","",""
"2016-07-19","1481","","","","","","","","","","","","","","","","",""
"2016-07-20","1491","","","","","","","","","","","","","","","","",""
"2016-07-21","1489","","","","","","","","","","","","","","","","",""
"2016-07-22","1477","","","","","","","","","","","","","","253.7","","",""
"2016-07-25","1480","","","","","","","","","","","","","","","","",""
"2016-07-26","1486","","","","","","","","","","","","","","","","",""
"2016-07-27","1476","","","","","","","","","","","","","","","","",""
"2016-07-28","1461","","","","","","","","","","","","","","","","",""
"2016-07-29","1446","","","","","","","","","","","","","","265.2","","",""
"2016-07-31","","218","0.02","226","1","45.84","110.62","103.6","159","","","","","","","","43.2","52.85"
"2016-08-01","1451","","","","","","","","","","","","","","","","",""
"2016-08-02","1454","","","","","","","","","","","","","","","","",""
"2016-08-03","1454","","","","","","","","","","","","","","","","",""
"2016-08-04","1472","","","","","","","","","","","","","","","","",""
"2016-08-05","1472","","","","","","","","","","","","","","265.9","","",""
"2016-08-08","1451","","","","","","","","","","","","","","","","",""
"2016-08-09","1443","","","","","","","","","","","","","","","","",""
"2016-08-10","1453","","","","","","","","","","","","","","","","",""
"2016-08-11","1449","","","","","","","","","","","","","","","","",""
"2016-08-12","1456","","","","","","","","","","","","","","253.5","","",""
"2016-08-15","1476","","","","","","","","","","","","","","","","",""
"2016-08-16","1477","","","","","","","","","","","","","","","","",""
"2016-08-17","1486","","","","","","","","","","","","","","","","",""
"2016-08-18","1475","","","","","","","","","","","","","","","","",""
"2016-08-19","1467","","","","","","","","","","","","","","245.7","","",""
"2016-08-22","1467","","","","","","","","","","","","","","","","",""
"2016-08-23","1455","","","","","","","","","","","","","","","","",""
"2016-08-24","1448","","","","","","","","","","","","","","","","",""
"2016-08-25","1452","","","","","","","","","","","","","","","","",""
"2016-08-26","1448","","","","","","","","","","","","","","232.1","","",""
"2016-08-29","1469","","","","","","","","","","","","","","","","",""
"2016-08-30","1461","","","","","","","","","","","","","","","","",""
"2016-08-31","1450","218","0.02","226","1","45.86","110.67","103.65","159","","","","","","","","43.33","61.2"
"2016-09-01","1455","","","","","","","","","","","","","","","","",""
"2016-09-02","1455","","","","","","","","","","","","","","225.2","","",""
"2016-09-05","1425","","","","","","","","","","","","","","","","",""
"2016-09-06","1428","","","","","","","","","","","","","","","","",""
"2016-09-07","1433","","","","","","","","","","","","","","","","",""
"2016-09-08","1437","","","","","","","","","","","","","","","","",""
"2016-09-09","1436","","","","","","","","","","","","","","221.2","","",""
"2016-09-12","1430","","","","","","","","","","","","","","","","",""
"2016-09-13","1452","","","","","","","","","","","","","","","","",""
"2016-09-14","1446","","","","","","","","","","","","","","","","",""
"2016-09-16","","","","","","","","","","","","","","","210.4","","",""
"2016-09-19","1466","","","","","","","","","","","","","","","","",""
"2016-09-20","1467","","","","","","","","","","","","","","","","",""
"2016-09-21","1435","","","","","","","","","","","","","","","","",""
"2016-09-22","1433","","","","","","","","","","","","","","","","",""
"2016-09-23","1419","","","","","","","","","","","","","","211.7","","",""
"2016-09-26","1416","","","","","","","","","","","","","","","","",""
"2016-09-27","1404","","","","","","","","","","","","","","","","",""
"2016-09-28","1394","","","","","","","","","","","","","","","","",""
"2016-09-29","1390","","","","","","","","","","","","","","","","",""
"2016-09-30","1394","216","0.02","226","3","45.86","110.67","103.65","159","","","","","","211.7","","43.58","60.55"
"2016-10-07","","","","","","","","","","","","","","","229.6","","",""
"2016-10-10","1432","","","","","","","","","","","","","","","","",""
"2016-10-11","1427","","","","","","","","","","","","","","","","",""
"2016-10-12","1430","","","","","","","","","","","","","","","","",""
"2016-10-13","1435","","","","","","","","","","","","","","","","",""
"2016-10-14","1444","","","","","","","","","","","","","","209.9","","",""
"2016-10-17","1444","","","","","","","","","","","","","","","","",""
"2016-10-18","1457","","","","","","","","","","","","","","","","",""
"2016-10-19","1461","","","","","","","","","","","","","","","","",""
"2016-10-20","1482","","","","","","","","","","","","","","","","",""
"2016-10-21","1479","","","","","","","","","","","","","","226.3","","",""
"2016-10-24","1489","","","","","","","","","","","","","","","","",""
"2016-10-25","1467","","","","","","","","","","","","","","","","",""
"2016-10-26","1504","","","","","","","","","","","","","","","","",""
"2016-10-27","1531","","","","","","","","","","","","","","","","",""
"2016-10-28","1521","","","","","","","","","","","","","","240","","",""
"2016-10-31","1517","216","0.02","226","3","45.88","110.71","103.69","159","","","","","721","","","44.14","58.94"
"2016-11-01","1510","","","","","","","","","","","","","","","","",""
"2016-11-02","1508","","","","","","","","","","","","","","","","",""
"2016-11-03","1521","","","","","","","","","","","","","","","","",""
"2016-11-04","1511","","","","","","","","","","","","","","254.8","","",""
"2016-11-07","1533","","","","","","","","","","","","","","","","",""
"2016-11-08","1568","","","","","","","","","","","","","","","","",""
"2016-11-09","1578","","","","","","","","","","","","","","","","",""
"2016-11-10","1623","","","","","","","","","","","","","1328","","","",""
"2016-11-11","1642","","","","","","","","","","","","","","277","","",""
"2016-11-14","1648","","","","","","","","","","","","","","","","",""
"2016-11-15","1642","","","","","","","","","","","","","1644","","","",""
"2016-11-16","1630","","","","","","","","","","","","","","","","",""
"2016-11-17","1617","","","","","","","","","","","","","","","","",""
"2016-11-18","1606","","","","","","","","","","","","","","284.6","","",""
"2016-11-20","","","","","","","","","","","","","","1955","","","",""
"2016-11-21","1619","","","","","","","","","","","","","","","","",""
"2016-11-22","1566","","","","","","","","","","","","","","","","",""
"2016-11-23","1560","","","","","","","","","","","","","","","","",""
"2016-11-24","1543","","","","","","","","","","","","","","","","",""
"2016-11-25","1520","","","","","","","","","","","","","2290","317.6","","",""
"2016-11-28","1531","","","","","","","","","","","","","","","","",""
"2016-11-29","1549","","","","","","","","","","","","","","","","",""
"2016-11-30","1544","216","0.02","226","3","45.91","110.77","103.75","159","","","","","2714","","","44.14","61.05"
"2016-12-01","1562","","","","","","","","","","","","","","","","",""
"2016-12-02","1565","","","","","","","","","","","","","","328.8","","",""
"2016-12-05","1578","","","","","","","","","","","","","3114","","","",""
"2016-12-06","1560","","","","","","","","","","","","","","","","",""
"2016-12-07","1565","","","","","","","","","","","","","","","","",""
"2016-12-08","1538","","","","","","","","","","","","","","","","",""
"2016-12-09","1543","","","","","","","","","","","","","","334.1","","",""
"2016-12-10","","","","","","","","","","","","","","3488","","","",""
"2016-12-12","1526","","","","","","","","","","","","","","","","",""
"2016-12-13","1533","","","","","","","","","","","","","","","","",""
"2016-12-14","1526","","","","","","","","","","","","","","","","",""
"2016-12-15","1543","","","","","","","","","","","","","3883","","","",""
"2016-12-16","1554","","","","","","","","","","","","","","326.1","","",""
"2016-12-19","1520","","","","","","","","","","","","","","","","",""
"2016-12-20","1506","","","","","","","","","","","","","4290","","","",""
"2016-12-21","1502","","","","","","","","","","","","","","","","",""
"2016-12-22","1486","","","","","","","","","","","","","","","","",""
"2016-12-23","1509","","","","","","","","","","","","","","302.7","","",""
"2016-12-25","","","","","","","","","","","","","","4705","","","",""
"2016-12-26","1525","","","","","","","","","","","","","","","","",""
"2016-12-27","1523","","","","","","","","","","","","","","","","",""
"2016-12-28","1527","","","","","","","","","","","","","","","","",""
"2016-12-29","1515","","","","","","","","","","","","","","","","",""
"2016-12-30","1519","","","","","","","","","","","","","","314.5","","",""
"2016-12-31","","216","0.02","226","3","45.91","110.77","103.75","159","","","","","5250","","","44.14","61.05"
"2017-01-03","1519","","","","","","","","","","","","","","","","",""
"2017-01-04","1534","","","","","","","","","","","","","","","","",""
"2017-01-05","1527","","","","","","","","","","","","","5606","","","",""
"2017-01-06","1515","","","","","","","","","","","","","","328.2","","",""
"2017-01-09","1508","","","","","","","","","","","","","","","","",""
"2017-01-10","1503","","","","","","","","","","","","","6053","","","",""
"2017-01-11","1507","","","","","","","","","","","","","","","","",""
"2017-01-12","1508","","","","","","","","","","","","","","","","",""
"2017-01-13","1513","","","","","","","","","","","","","","346.9","","",""
"2017-01-15","","","","","","","","","","","","","","6539","","","",""
"2017-01-16","1529","","","","","","","","","","","","","","","","",""
"2017-01-17","1524","","","","","","","","","","","","","","","","",""
"2017-01-18","1562","","","","","","","","","","","","","","","","",""
"2017-01-19","1558","","","","","","","","","","","","","","","","",""
"2017-01-20","1564","","","","","","","","","","","","","7040","356.9","","",""
"2017-01-23","1573","","","","","","","","","","","","","","","","",""
"2017-01-24","1560","","","","","","","","","","","","","","","","",""
"2017-01-25","1556","","","","","","","","","","","","","7300","","","",""
"2017-01-26","1560","","","","","","","","","","","","","","","","",""
"2017-01-27","","","","","","","","","","","","","","","356.9","","",""
"2017-01-31","","219.55","0.02","227","3","46.83","110.77","106.31","159","","","","","7311","","","44.12","59.82"
"2017-02-03","1573","","","","","","","","","","","","","","345","","",""
"2017-02-05","","","","","","","","","","","","","","7417","","","",""
"2017-02-06","1600","","","","","","","","","","","","","","","","",""
"2017-02-07","1589","","","","","","","","","","","","","","","","",""
"2017-02-08","1602","","","","","","","","","","","","","","","","",""
"2017-02-09","1602","","","","","","","","","","","","","","","","",""
"2017-02-10","1605","","","","","","","","","","","","","7624","348","","",""
"2017-02-13","1604","","","","","","","","","","","","","","","","",""
"2017-02-14","1574","","","","","","","","","","","","","","","","",""
"2017-02-15","1562","","","","","","","","","","","","","7954","","","",""
"2017-02-16","1572","","","","","","","","","","","","","","","","",""
"2017-02-17","1566","","","","","","","","","","","","","","348.7","","",""
"2017-02-20","1583","","","","","","","","","","","","","8299","","","",""
"2017-02-21","1586","","","","","","","","","","","","","","","","",""
"2017-02-22","1598","","","","","","","","","","","","","","","","",""
"2017-02-23","1584","","","","","","","","","","","","","","","","",""
"2017-02-24","1591","","","","","","","","","","","","","","354.1","","",""
"2017-02-25","","","","","","","","","","","","","","8656","","","",""
"2017-02-27","1604","","","","","","","","","","","","","","","","",""
"2017-02-28","1603","219.55","0.02","231","3","44.29","110.77","102.31","161","","","","","8992","","","44.12","58.93"
"2017-03-01","1603","","","","","","","","","","","","","","","","",""
"2017-03-02","1608","","","","","","","","","","","","","","","","",""
"2017-03-03","1626","","","","","","","","","","","","","","390.5","","",""
"2017-03-05","","","","","","","","","","","","","","9436","","","",""
"2017-03-06","1648","","","","","","","","","","","","","","","","",""
"2017-03-07","1644","","","","","","","","","","","","","","","","",""
"2017-03-08","1626","","","","","","","","","","","","","","","","",""
"2017-03-09","1609","","","","","","","","","","","","","","","","",""
"2017-03-10","1587","","","","","","","","","","","","","9820","399.8","","",""
"2017-03-13","1592","","","","","","","","","","","","","","","","",""
"2017-03-14","1648","","","","","","","","","","","","","","","","",""
"2017-03-15","1661","","","","","","","","","","","","","10240","","","",""
"2017-03-16","1657","","","","","","","","","","","","","","","","",""
"2017-03-17","1659","","","","","","","","","","","","","","393.7","","",""
"2017-03-20","1683","","","","","","","","","","","","","10603","","","",""
"2017-03-21","1686","","","","","","","","","","","","","","","","",""
"2017-03-22","1710","","","","","","","","","","","","","","","","",""
"2017-03-23","1693","","","","","","","","","","","","","","","","",""
"2017-03-24","1705","","","","","","","","","","","","","","399.4","","",""
"2017-03-25","","","","","","","","","","","","","","10865","","","",""
"2017-03-27","1704","","","","","","","","","","","","","","","","",""
"2017-03-28","1716","","","","","","","","","","","","","","","","",""
"2017-03-29","1673","","","","","","","","","","","","","","","","",""
"2017-03-30","1670","","","","","","","","","","","","","","","","",""
"2017-03-31","1672","219.55","0.02","231","3","44.29","110.77","102.31","161","","","","","11181","399.4","","44.12","58.93"
"2017-04-05","1682","","","","","","","","","","","","","11332","","","",""
"2017-04-06","1691","","","","","","","","","","","","","","","","",""
"2017-04-07","1669","","","","","","","","","","","","","","390.1","","",""
"2017-04-10","1675","","","","","","","","","","","","","11489","","","",""
"2017-04-11","1633","","","","","","","","","","","","","","","","",""
"2017-04-12","1626","","","","","","","","","","","","","","","","",""
"2017-04-13","1636","","","","","","","","","","","","","","","","",""
"2017-04-14","1639","","","","","","","","","","","","","","377.4","","",""
"2017-04-15","","","","","","","","","","","","","","11605","","","",""
"2017-04-17","1639","","","","","","","","","","","","","","","","",""
"2017-04-18","1628","","","","","","","","","","","","","","","","",""
"2017-04-19","1616","","","","","","","","","","","","","","","","",""
"2017-04-20","1626","","","","","","","","","","","","","11728","","","",""
"2017-04-21","1649","","","","","","","","","","","","","","370.7","","",""
"2017-04-24","1642","","","","","","","","","","","","","","","","",""
"2017-04-25","1630","","","","","","","","","","","","","11838","","","",""
"2017-04-26","1635","","","","","","","","","","","","","","","","",""
"2017-04-27","1623","","","","","","","","","","","","","","","","",""
"2017-04-28","1622","","","","","","","","","","","","","","344.3","","",""
"2017-04-30","","219.55","0.02","231","3","44.29","110.77","102.31","161","","","","","11941","","","44.12","58.93"
"2017-05-02","1649","","","","","","","","","","","","","","","","",""
"2017-05-03","1637","","","","","","","","","","","","","","","","",""
"2017-05-04","1640","","","","","","","","","","","","","","","","",""
"2017-05-05","1640","","","","","","","","","","","","","","341.7","","",""
"2017-05-08","1642","","","","","","","","","","","","","","","","",""
"2017-05-09","1628","","","","","","","","","","","","","","","","",""
"2017-05-10","1626","","","","","","","","","","","","","","","","",""
"2017-05-11","1645","","","","","","","","","","","","","","","","",""
"2017-05-12","1644","","","","","","","","","","","","","","328.7","","",""
"2017-05-15","1629","","","","","","","","","","","","","","","","",""
"2017-05-16","1629","","","","","","","","","","","","","","","","",""
"2017-05-17","1643","","","","","","","","","","","","","","","","",""
"2017-05-18","1639","","","","","","","","","","","","","","","","",""
"2017-05-19","1643","","","","","","","","","","","","","","324.1","","",""
"2017-05-22","1618","","","","","","","","","","","","","","","","",""
"2017-05-23","1615","","","","","","","","","","","","","","","","",""
"2017-05-24","1622","","","","","","","","","","","","","","","","",""
"2017-05-25","1619","","","","","","","","","","","","","","","","",""
"2017-05-26","1619","","","","","","","","","","","","","","334","","",""
"2017-05-31","1608","215","0.02","238","3","34.16","101.31","81.29","166","","","","","","","","58.3","53.6"
"2017-06-01","1627","","","","","","","","","","","","","","","","",""
"2017-06-02","1636","","","","","","","","","","","","","","342","","",""
"2017-06-05","1639","","","","","","","","","","","","","","","","",""
"2017-06-06","1638","","","","","","","","","","","","","","","","",""
"2017-06-07","1637","","","","","","","","","","","","","","","","",""
"2017-06-08","1637","","","","","","","","","","","","","","","","",""
"2017-06-09","1672","","","","","","","","","","","","","","370.7","","",""
"2017-06-12","1687","","","","","","","","","","","","","","","","",""
"2017-06-13","1668","","","","","","","","","","","","","","","","",""
"2017-06-14","1683","","","","","","","","","","","","","","","","",""
"2017-06-15","1678","","","","","","","","","","","","","","","","",""
"2017-06-16","1674","","","","","","","","","","","","","","358.7","","",""
"2017-06-19","1660","","","","","","","","","","","","","","","","",""
"2017-06-20","1665","","","","","","","","","","","","","","","","",""
"2017-06-21","1668","","","","","","","","","","","","","","","","",""
"2017-06-22","1663","","","","","","","","","","","","","","","","",""
"2017-06-23","1676","","","","","","","","","","","","","","376.4","","",""
"2017-06-26","1692","","","","","","","","","","","","","","","","",""
"2017-06-27","1699","","","","","","","","","","","","","","","","",""
"2017-06-28","1688","","","","","","","","","","","","","","","","",""
"2017-06-29","1686","","","","","","","","","","","","","","","","",""
"2017-06-30","1687","215","0.02","238","3","34.16","101.31","81.29","166","","","","","","369.2","","58.3","53.6"
"2017-07-03","1686","","","","","","","","","","","","","","","","",""
"2017-07-04","1679","","","","","","","","","","","","","","","","",""
"2017-07-05","1683","","","","","","","","","","","","","","","","",""
"2017-07-06","1673","","","","","","","","","","","","","","","","",""
"2017-07-07","1676","","","","","","","","","","","","","","353.5","","",""
"2017-07-10","1672","","","","","","","","","","","","","","","","",""
"2017-07-11","1674","","","","","","","","","","","","","","","","",""
"2017-07-12","1681","","","","","","","","","","","","","","","","",""
"2017-07-13","1664","","","","","","","","","","","","","","","","",""
"2017-07-14","1666","","","","","","","","","","","","","","351.1","","",""
"2017-07-17","1689","","","","","","","","","","","","","","","","",""
"2017-07-18","1687","","","","","","","","","","","","","","","","",""
"2017-07-19","1677","","","","","","","","","","","","","","","","",""
"2017-07-20","1685","","","","","","","","","","","","","","","","",""
"2017-07-21","1675","","","","","","","","","","","","","","347.8","","",""
"2017-07-24","1667","","","","","","","","","","","","","","","","",""
"2017-07-25","1668","","","","","","","","","","","","","","","","",""
"2017-07-26","1655","","","","","","","","","","","","","","","","",""
"2017-07-27","1653","","","","","","","","","","","","","","","","",""
"2017-07-28","1661","","","","","","","","","","","","","","339.4","","",""
"2017-07-31","1645","215","0.02","238","3","34.15","101.3","81.28","166","","","","","","","","60.2","59.06"
"2017-08-01","1648","","","","","","","","","","","","","","","","",""
