date,close,热轧板卷：钢铁企业：产能利用率：中国（周）,热轧板卷：钢铁企业：产能：中国（周）,热轧板卷：钢铁企业：开工率：中国（周）,热轧板卷：钢铁企业：产线条数：中国（周）,热轧板卷：钢铁企业：内部供料量：中国（周）,热轧板卷：钢铁企业：年产能：中国（周）,热轧板卷：钢铁企业：实际产量：中国（周）,热轧板卷：钢铁企业：实际开工条数：中国（周）,热轧商品卷：钢铁企业：产量：中国（周）,热轧板卷：成交量：中国（日）,热轧板卷：消费量：中国（周）,热轧板卷：社会库存：中国（旬）,热轧板卷：库存：中国（周）,热轧板卷：钢铁企业：厂内库存：中国（周）,热轧板卷：55个城市：社会库存：中国（周）
"2016-01-19","1949","","","","","","","","","","","","","","",""
"2016-01-20","1929","","","","","","","","","","","","","","",""
"2016-01-21","1923","","","","","","","","","","","","","","",""
"2016-01-22","1934","79.46","391.42","96.88","64","","20410","311.04","62","","","314.53","","284.25","79.73",""
"2016-01-25","1938","","","","","","","","","","","","","","",""
"2016-01-26","1945","","","","","","","","","","","","","","",""
"2016-01-27","1945","","","","","","","","","","","","","","",""
"2016-01-28","1898","","","","","","","","","","","","","","",""
"2016-01-29","1909","77.22","391.42","95.31","64","","20410","302.26","61","","","300.03","","286.48","82.3",""
"2016-02-01","1924","","","","","","","","","","","","","","",""
"2016-02-02","1918","","","","","","","","","","","","","","",""
"2016-02-03","1923","","","","","","","","","","","","","","",""
"2016-02-04","1964","","","","","","","","","","","","","","",""
"2016-02-05","1944","","","","","","","","","","","302.26","","286.48","",""
"2016-02-12","","78.23","391.42","95.31","64","","20410","306.23","61","","","271.45","","321.26","100.32",""
"2016-02-15","1956","","","","","","","","","","","","","","",""
"2016-02-16","1969","","","","","","","","","","","","","","",""
"2016-02-17","1961","","","","","","","","","","","","","","",""
"2016-02-18","1975","","","","","","","","","","","","","","",""
"2016-02-19","1992","79.37","391.42","96.88","64","","20410","310.66","62","","","296.39","","335.53","101.31",""
"2016-02-22","2083","","","","","","","","","","","","","","",""
"2016-02-23","2058","","","","","","","","","","","","","","",""
"2016-02-24","2063","","","","","","","","","","","","","","",""
"2016-02-25","2053","","","","","","","","","","","","","","",""
"2016-02-26","2059","81.72","391.42","98.44","64","","20410","319.87","63","","","325.54","","329.86","91.36",""
"2016-02-29","2089","","","","","","","","","","","","","","",""
"2016-03-01","2109","","","","","","","","","","","","","","",""
"2016-03-02","2110","","","","","","","","","","","","","","",""
"2016-03-03","2127","","","","","","","","","","","","","","",""
"2016-03-04","2174","81.91","391.42","98.44","64","","20410","320.6","63","","","319.92","","330.54","90.6",""
"2016-03-07","2256","","","","","","","","","","","","","","",""
"2016-03-08","2390","","","","","","","","","","","","","","",""
"2016-03-09","2218","","","","","","","","","","","","","","",""
"2016-03-10","2269","","","","","","","","","","","","","","",""
"2016-03-11","2235","81.96","391.42","98.44","64","","20410","320.8","63","","","335.27","","316.07","77.34",""
"2016-03-14","2200","","","","","","","","","","","","","","",""
"2016-03-15","2160","","","","","","","","","","","","","","",""
"2016-03-16","2181","","","","","","","","","","","","","","",""
"2016-03-17","2263","","","","","","","","","","","","","","",""
"2016-03-18","2322","81.65","391.42","98.44","64","","20410","319.59","63","","","321.52","","314.14","78.16",""
"2016-03-21","2359","","","","","","","","","","","","","","",""
"2016-03-22","2357","","","","","","","","","","","","","","",""
"2016-03-23","2401","","","","","","","","","","","","","","",""
"2016-03-24","2327","","","","","","","","","","","","","","",""
"2016-03-25","2410","81.59","391.42","98.44","64","","20410","319.36","63","","","325.85","","307.65","76.98",""
"2016-03-28","2346","","","","","","","","","","","","","","",""
"2016-03-29","2376","","","","","","","","","","","","","","",""
"2016-03-30","2343","","","","","","","","","","","","","","",""
"2016-03-31","2389","","","","","","","","","","","","","","",""
"2016-04-01","2483","80.34","391.42","96.88","64","","20410","314.46","62","","","317.46","","304.65","78.68",""
"2016-04-05","2530","","","","","","","","","","","","","","",""
"2016-04-06","2505","","","","","","","","","","","","","","",""
"2016-04-07","2546","","","","","","","","","","","","","","",""
"2016-04-08","2574","80.01","391.42","96.88","64","","20410","313.17","62","","","321.27","","296.55","80.95",""
"2016-04-11","2681","","","","","","","","","","","","","","",""
"2016-04-12","2719","","","","","","","","","","","","","","",""
"2016-04-13","2558","","","","","","","","","","","","","","",""
"2016-04-14","2508","","","","","","","","","","","","","","",""
"2016-04-15","2478","82.25","391.42","96.88","64","","20410","321.94","62","","","336.74","","281.75","75.1",""
"2016-04-18","2581","","","","","","","","","","","","","","",""
"2016-04-19","2699","","","","","","","","","","","","","","",""
"2016-04-20","2833","","","","","","","","","","","","","","",""
"2016-04-21","2954","","","","","","","","","","","","","","",""
"2016-04-22","2817","83.04","391.42","96.88","64","","20410","325.04","62","","","336.67","","270.12","75.69",""
"2016-04-25","2831","","","","","","","","","","","","","","",""
"2016-04-26","2685","","","","","","","","","","","","","","",""
"2016-04-27","2632","","","","","","","","","","","","","","",""
"2016-04-28","2692","","","","","","","","","","","","","","",""
"2016-04-29","2731","83.39","391.42","96.88","64","","20410","326.41","62","","","335.69","","260.84","75.63",""
"2016-05-03","2574","","","","","","","","","","","","","","",""
"2016-05-04","2524","","","","","","","","","","","","","","",""
"2016-05-05","2458","","","","","","","","","","","","","","",""
"2016-05-06","2493","83.68","391.42","96.88","64","","20410","327.55","62","","","324.4","","263.99","78.13",""
"2016-05-09","2308","","","","","","","","","","","","","","",""
"2016-05-10","2303","","","","","","","","","","","","","","",""
"2016-05-11","2304","","","","","","","","","","","","","","",""
"2016-05-12","2236","","","","","","","","","","","","","","",""
"2016-05-13","2195","83.51","391.42","96.88","64","","20410","326.87","62","","","324.86","","266","77.52",""
"2016-05-16","2245","","","","","","","","","","","","","","",""
"2016-05-17","2312","","","","","","","","","","","","","","",""
"2016-05-18","2244","","","","","","","","","","","","","","",""
"2016-05-19","2231","","","","","","","","","","","","","","",""
"2016-05-20","2255","83.1","391.42","96.88","64","","20410","325.26","62","","","320.44","","270.82","79.19",""
"2016-05-23","2123","","","","","","","","","","","","","","",""
"2016-05-24","2153","","","","","","","","","","","","","","",""
"2016-05-25","2105","","","","","","","","","","","","","","",""
"2016-05-26","2153","","","","","","","","","","","","","","",""
"2016-05-27","2259","81.76","391.42","95.31","64","","20410","320.02","61","","","317.72","","273.12","83.46",""
"2016-05-30","2230","","","","","","","","","","","","","","",""
"2016-05-31","2201","","","","","","","","","","","","","","",""
"2016-06-01","2167","","","","","","","","","","","","","","",""
"2016-06-02","2153","","","","","","","","","","","","","","",""
"2016-06-03","2176","80.46","391.42","93.75","64","","20410","314.93","60","","","313.5","","274.55","87.46",""
"2016-06-06","2256","","","","","","","","","","","","","","",""
"2016-06-07","2284","","","","","","","","","","","","","","",""
"2016-06-08","2300","","","","","","","","","","","","","","",""
"2016-06-10","","81.89","391.42","95.31","64","","20410","320.53","61","","","327.46","","267.62","85.74",""
"2016-06-13","2336","","","","","","","","","","","","","","",""
"2016-06-14","2256","","","","","","","","","","","","","","",""
"2016-06-15","2251","","","","","","","","","","","","","","",""
"2016-06-16","2252","","","","","","","","","","","","","","",""
"2016-06-17","2261","79.55","391.42","93.75","64","","20410","311.36","60","","","306.29","","272.69","87.31",""
"2016-06-20","2237","","","","","","","","","","","","","","",""
"2016-06-21","2260","","","","","","","","","","","","","","",""
"2016-06-22","2314","","","","","","","","","","","","","","",""
"2016-06-23","2307","","","","","","","","","","","","","","",""
"2016-06-24","2297","80.11","391.42","95.31","64","","20410","313.56","61","","","309","","277.25","88.95",""
"2016-06-27","2448","","","","","","","","","","","","","","",""
"2016-06-28","2443","","","","","","","","","","","","","","",""
"2016-06-29","2409","","","","","","","","","","","","","","",""
"2016-06-30","2502","","","","","","","","","","","","","","",""
"2016-07-01","2509","80.68","391.42","93.75","64","","20410","315.8","60","","","315.98","","277.07","91.69",""
"2016-07-04","2566","","","","","","","","","","","","","","",""
"2016-07-05","2530","","","","","","","","","","","","","","",""
"2016-07-06","2518","","","","","","","","","","","","","","",""
"2016-07-07","2557","","","","","","","","","","","","","","",""
"2016-07-08","2594","78.8","391.42","92.19","64","","20410","308.45","59","","","311.76","","273.76","92.68",""
"2016-07-11","2589","","","","","","","","","","","","","","",""
"2016-07-12","2699","","","","","","","","","","","","","","",""
"2016-07-13","2664","","","","","","","","","","","","","","",""
"2016-07-14","2659","","","","","","","","","","","","","","",""
"2016-07-15","2661","79.5","391.42","95.31","64","","20410","311.17","61","","","311.75","","273.18","90.19",""
"2016-07-18","2495","","","","","","","","","","","","","","",""
"2016-07-19","2430","","","","","","","","","","","","","","",""
"2016-07-20","2463","","","","","","","","","","","","","","",""
"2016-07-21","2572","","","","","","","","","","","","","","",""
"2016-07-22","2495","80.51","391.42","95.31","64","","20410","315.12","61","","","310.96","","277.34","93.02",""
"2016-07-25","2557","","","","","","","","","","","","","","",""
"2016-07-26","2604","","","","","","","","","","","","","","",""
"2016-07-27","2623","","","","","","","","","","","","","","",""
"2016-07-28","2674","","","","","","","","","","","","","","",""
"2016-07-29","2599","77.83","391.42","92.19","64","","20410","304.64","59","","","301.89","","280.09","92.4",""
"2016-08-01","2700","","","","","","","","","","","","","","",""
"2016-08-02","2689","","","","","","","","","","","","","","",""
"2016-08-03","2673","","","","","","","","","","","","","","",""
"2016-08-04","2626","","","","","","","","","","","","","","",""
"2016-08-05","2710","77.87","391.42","92.19","64","","20410","304.79","59","","","295.49","","289.39","95.78",""
"2016-08-08","2787","","","","","","","","","","","","","","",""
"2016-08-09","2752","","","","","","","","","","","","","","",""
"2016-08-10","2754","","","","","","","","","","","","","","",""
"2016-08-11","2760","","","","","","","","","","","","","","",""
"2016-08-12","2747","78.87","391.42","92.19","64","","20410","308.71","59","","","311.29","","286.81","90.25",""
"2016-08-15","2733","","","","","","","","","","","","","","",""
"2016-08-16","2817","","","","","","","","","","","","","","",""
"2016-08-17","2790","","","","","","","","","","","","","","",""
"2016-08-18","2793","","","","","","","","","","","","","","",""
"2016-08-19","2786","81.39","391.42","98.44","64","","20410","318.6","63","","","320.92","","284.49","88.8",""
"2016-08-22","2776","","","","","","","","","","","","","","",""
"2016-08-23","2839","","","","","","","","","","","","","","",""
"2016-08-24","2825","","","","","","","","","","","","","","",""
"2016-08-25","2823","","","","","","","","","","","","","","",""
"2016-08-26","2784","82.77","391.42","98.44","64","","20410","323.97","63","","","324.73","","283.73","88.75",""
"2016-08-29","2830","","","","","","","","","","","","","","",""
"2016-08-30","2780","","","","","","","","","","","","","","",""
"2016-08-31","2734","","","","","","","","","","","","","","",""
"2016-09-01","2741","","","","","","","","","","","","","","",""
"2016-09-02","2753","82.75","391.42","98.44","64","","20410","323.91","63","","","318.34","","289.3","88.77",""
"2016-09-05","2668","","","","","","","","","","","","","","",""
"2016-09-06","2643","","","","","","","","","","","","","","",""
"2016-09-07","2560","","","","","","","","","","","","","","",""
"2016-09-08","2587","","","","","","","","","","","","","","",""
"2016-09-09","2595","80.99","391.42","95.31","64","","20410","317.03","61","","","320.04","","286.29","87.54",""
"2016-09-12","2542","","","","","","","","","","","","","","",""
"2016-09-13","2534","","","","","","","","","","","","","","",""
"2016-09-14","2552","","","","","","","","","","","","","","",""
"2016-09-16","","80.06","391.42","96.88","64","","20410","313.36","62","","","308.01","","291.64","88.49",""
"2016-09-19","2540","","","","","","","","","","","","","","",""
"2016-09-20","2548","","","","","","","","","","","","","","",""
"2016-09-21","2530","","","","","","","","","","","","","","",""
"2016-09-22","2567","","","","","","","","","","","","","","",""
"2016-09-23","2604","82.95","391.42","98.44","64","","20410","324.67","63","","","319.31","","297","95.16",""
"2016-09-26","2619","","","","","","","","","","","","","","",""
"2016-09-27","2570","","","","","","","","","","","","","","",""
"2016-09-28","2585","","","","","","","","","","","","","","",""
"2016-09-29","2565","","","","","","","","","","","","","","",""
"2016-09-30","2541","83.14","391.42","98.44","64","","20410","325.45","63","","","323.21","","299.24","96.17",""
"2016-10-07","","83.76","391.42","95.31","64","104.9","20410","327.87","61","222.97","","304.97","","322.14","105.14",""
"2016-10-10","2568","","","","","","","","","","","","","","",""
"2016-10-11","2675","","","","","","","","","","","","","","",""
"2016-10-12","2711","","","","","","","","","","","","","","",""
"2016-10-13","2696","","","","","","","","","","","","","","",""
"2016-10-14","2718","79.36","391.42","90.63","64","102.98","20410","310.65","58","207.67","","331.56","","301.23","93.83",""
"2016-10-17","2738","","","","","","","","","","","","","","",""
"2016-10-18","2729","","","","","","","","","","","","","","",""
"2016-10-19","2756","","","","","","","","","","","","","","",""
"2016-10-20","2806","","","","","","","","","","","","","","",""
"2016-10-21","2791","79.38","391.42","95.31","64","102.27","20410","310.71","61","208.44","","322.85","","289.09","84.51",""
"2016-10-24","2806","","","","","","","","","","","","","","",""
"2016-10-25","2884","","","","","","","","","","","","","","",""
"2016-10-26","2854","","","","","","","","","","","","","","",""
"2016-10-27","2849","","","","","","","","","","","","","","",""
"2016-10-28","2909","82","391.42","96.88","64","100.96","20410","320.95","62","219.99","","324.81","","285.23","86.91",""
"2016-10-31","2969","","","","","","","","","","","","","","",""
"2016-11-01","3035","","","","","","","","","","","","","","",""
"2016-11-02","3064","","","","","","","","","","","","","","",""
"2016-11-03","3119","","","","","","","","","","","","","","",""
"2016-11-04","3125","79.18","391.42","93.75","64","93.56","20410","309.92","60","216.36","","323.99","","271.16","84.77",""
"2016-11-07","3284","","","","","","","","","","","","","","",""
"2016-11-08","3220","","","","","","","","","","","","","","",""
"2016-11-09","3387","","","","","","","","","","","","","","",""
"2016-11-10","3346","","","","","","","","","","","","","","",""
"2016-11-11","3480","82.37","391.42","96.88","64","102.31","20410","322.43","62","220.12","","332.39","","261.2","79.12",""
"2016-11-14","3350","","","","","","","","","","","","","","",""
"2016-11-15","3217","","","","","","","","","","","","","","",""
"2016-11-16","3205","","","","","","","","","","","","","","",""
"2016-11-17","3218","","","","","","","","","","","","","","",""
"2016-11-18","3179","82.41","391.42","95.31","64","101.72","20410","322.58","61","220.86","","320.94","","262.84","81.77",""
"2016-11-21","3151","","","","","","","","","","","","","","",""
"2016-11-22","3342","","","","","","","","","","","","","","",""
"2016-11-23","3424","","","","","","","","","","","","","","",""
"2016-11-24","3399","","","","","","","","","","","","","","",""
"2016-11-25","3551","81.28","391.42","93.75","64","99.53","20410","318.15","60","218.62","","318.88","","262.11","81.76",""
"2016-11-28","3620","","","","","","","","","","","","","","",""
"2016-11-29","3413","","","","","","","","","","","","","","",""
"2016-11-30","3295","","","","","","","","","","","","","","",""
"2016-12-01","3578","","","","","","","","","","","","","","",""
"2016-12-02","3494","81.24","391.42","93.75","64","100.07","20410","318","60","217.93","","321.74","","258.37","81.74",""
"2016-12-05","3583","","","","","","","","","","","","","","",""
"2016-12-06","3642","","","","","","","","","","","","","","",""
"2016-12-07","3751","","","","","","","","","","","","","","",""
"2016-12-08","3760","","","","","","","","","","","","","","",""
"2016-12-09","3740","83","391.42","96.88","64","102.59","20410","324.88","62","222.29","","328.69","","254.56","80.23",""
"2016-12-12","3770","","","","","","","","","","","","","","",""
"2016-12-13","3822","","","","","","","","","","","","","","",""
"2016-12-14","3722","","","","","","","","","","","","","","",""
"2016-12-15","3787","","","","","","","","","","","","","","",""
"2016-12-16","3676","84.65","391.42","96.88","64","109.52","20410","331.35","62","221.83","","334.95","","250.96","81.65",""
"2016-12-19","3556","","","","","","","","","","","","","","",""
"2016-12-20","3574","","","","","","","","","","","","","","",""
"2016-12-21","3588","","","","","","","","","","","","","","",""
"2016-12-22","3415","","","","","","","","","","","","","","",""
"2016-12-23","3385","84.22","391.42","96.88","64","107.47","20410","329.66","62","222.19","","326.29","","254.33","83.96",""
"2016-12-26","3299","","","","","","","","","","","","","","",""
"2016-12-27","3391","","","","","","","","","","","","","","",""
"2016-12-28","3405","","","","","","","","","","","","","","",""
"2016-12-29","3352","","","","","","","","","","","","","","",""
"2016-12-30","3305","86.04","391.42","96.88","64","107.78","20410","336.8","62","229.02","","331.8","","259.33","85.95",""
"2017-01-03","3298","","","","","","","","","","","","","","",""
"2017-01-04","3370","","","","","","","","","","","","","","",""
"2017-01-05","3358","","","","","","","","","","","","","","",""
"2017-01-06","3273","86.49","391.42","98.44","64","107.06","20410","338.56","63","231.5","","329.54","","268.35","90.08",""
"2017-01-09","3449","","","","","","","","","","","","","","",""
"2017-01-10","3562","","","","","","","","","","","","","","",""
"2017-01-11","3569","","","","","","","","","","","","","","",""
"2017-01-12","3592","","","","","","","","","","","","","","",""
"2017-01-13","3566","85.82","391.42","96.88","64","107.06","20410","335.93","62","228.87","","330.3","","273.98","91.01",""
"2017-01-16","3721","","","","","","","","","","","","","","",""
"2017-01-17","3629","","","","","","","","","","","","","","",""
"2017-01-18","3622","","","","","","","","","","","","","","",""
"2017-01-19","3551","","","","","","","","","","","","","","",""
"2017-01-20","3452","85.67","391.42","98.44","64","106.47","20410","335.35","63","228.88","","328.18","","281.15","88.4",""
"2017-01-23","3462","","","","","","","","","","","","","","",""
"2017-01-24","3585","","","","","","","","","","","","","","",""
"2017-01-25","3600","","","","","","","","","","","","","","",""
"2017-01-26","3660","","","","","","","","","","","","","","",""
"2017-01-27","","","","","","","","","","","","335.35","","281.15","",""
"2017-02-03","3382","83.49","391.42","96.88","64","110.61","20410","326.8","62","216.16","","247.6","","360.35","133.2",""
"2017-02-06","3385","","","","","","","","","","","","","","",""
"2017-02-07","3469","","","","","","","","","","","","","","",""
"2017-02-08","3533","","","","","","","","","","","","","","",""
"2017-02-09","3489","","","","","","","","","","","","","","",""
"2017-02-10","3620","84.62","391.42","96.88","64","109.38","20410","331.23","62","221.85","","294.78","","396.8","129.29",""
"2017-02-13","3730","","","","","","","","","","","","","","",""
"2017-02-14","3728","","","","","","","","","","","","","","",""
"2017-02-15","3677","","","","","","","","","","","","","","",""
"2017-02-16","3653","","","","","","","","","","","","","","",""
"2017-02-17","3741","85.18","391.42","96.88","64","109.8","20410","333.43","62","223.63","","330.24","","399.99","118.25",""
"2017-02-20","3762","","","","","","","","","","","","","","",""
"2017-02-21","3780","","","","","","","","","","","","","","",""
"2017-02-22","3679","","","","","","","","","","","","","","",""
"2017-02-23","3608","","","","","","","","","","","","","","",""
"2017-02-24","3591","84.82","391.42","96.88","64","108.25","20410","332.02","62","223.77","","333.54","","398.47","110.93",""
"2017-02-27","3728","","","","","","","","","","","","","","",""
"2017-02-28","3549","","","","","","","","","","","","","","",""
"2017-03-01","3594","","","","","","","","","","","","","","",""
"2017-03-02","3579","","","","","","","","","","","","","","",""
"2017-03-03","3573","85.7","391.42","98.44","64","111.27","20410","335.47","63","224.2","","328.25","","405.69","105.28",""
"2017-03-06","3467","","","","","","","","","","","","","","",""
"2017-03-07","3478","","","","","","","","","","","","","","",""
"2017-03-08","3423","","","","","","","","","","","","","","",""
"2017-03-09","3372","","","","","","","","","","","","","","",""
"2017-03-10","3423","83.44","391.42","98.44","64","110.23","20410","326.6","63","216.37","","323.27","","409.02","103.29",""
"2017-03-13","3570","","","","","","","","","","","","","","",""
"2017-03-14","3538","","","","","","","","","","","","","","",""
"2017-03-15","3596","","","","","","","","","","","","","","",""
"2017-03-16","3578","","","","","","","","","","","","","","",""
"2017-03-17","3542","83.47","391.42","95.31","64","111.46","20410","326.71","61","215.25","","323.79","","411.94","103.75",""
"2017-03-20","3533","","","","","","","","","","","","","","",""
"2017-03-21","3453","","","","","","","","","","","","","","",""
"2017-03-22","3358","","","","","","","","","","","","","","",""
"2017-03-23","3346","","","","","","","","","","","","","","",""
"2017-03-24","3353","80.49","391.42","93.75","64","110.72","20410","315.07","60","204.35","","319.45","","407.56","101.09",""
"2017-03-27","3229","","","","","","","","","","","","","","",""
"2017-03-28","3086","","","","","","","","","","","","","","",""
"2017-03-29","3213","","","","","","","","","","","","","","",""
"2017-03-30","3191","","","","","","","","","","","","","","",""
"2017-03-31","3165","82.95","391.42","96.88","64","110.91","20410","324.69","62","213.78","","318.04","","414.21","103.27",""
"2017-04-05","3170","","","","","","","","","","","","","","",""
"2017-04-06","3161","","","","","","","","","","","","","","",""
"2017-04-07","3078","83.9","391.42","96.88","64","115.19","20410","328.42","62","213.23","","327.96","","414.67","104.68",""
"2017-04-10","3068","","","","","","","","","","","","","","",""
"2017-04-11","3030","","","","","","","","","","","","","","",""
"2017-04-12","2913","","","","","","","","","","","","","","",""
"2017-04-13","2954","","","","","","","","","","","","","","",""
"2017-04-14","2984","84.27","391.42","95.31","64","113.1","20410","329.85","61","216.75","","330.55","","413.97","105.8",""
"2017-04-17","2973","","","","","","","","","","","","","","",""
"2017-04-18","2881","","","","","","","","","","","","","","",""
"2017-04-19","2893","","","","","","","","","","","","","","",""
"2017-04-20","2930","","","","","","","","","","","","","","",""
"2017-04-21","2961","84.9","391.42","96.88","64","106.89","20410","332.32","62","225.43","","330.44","","415.85","109.65",""
"2017-04-24","2956","","","","","","","","","","","","","","",""
"2017-04-25","2992","","","","","","","","","","","","","","",""
"2017-04-26","3020","","","","","","","","","","","","","","",""
"2017-04-27","3063","","","","","","","","","","","","","","",""
"2017-04-28","3149","84.33","391.42","95.31","64","98.07","20410","330.09","61","232.02","","330.33","","415.61","118.14",""
"2017-05-02","3142","","","","","","","","","","","","","","",""
"2017-05-03","3112","","","","","","","","","","","","","","",""
"2017-05-04","2891","","","","","","","","","","","","","","",""
"2017-05-05","2887","82.08","391.42","93.75","64","98.87","20410","321.27","60","222.4","","338.61","","398.27","107.63",""
"2017-05-08","2931","","","","","","","","","","","","","","",""
"2017-05-09","2895","","","","","","","","","","","","","","",""
"2017-05-10","2930","","","","","","","","","","","","","","",""
"2017-05-11","2952","","","","","","","","","","","","","","",""
"2017-05-12","2840","81.28","391.42","95.31","64","98.31","20410","318.14","61","219.83","","317.32","","399.09","109.47",""
"2017-05-15","2916","","","","","","","","","","","","","","",""
"2017-05-16","2916","","","","","","","","","","","","","","",""
"2017-05-17","3037","","","","","","","","","","","","","","",""
"2017-05-18","3048","","","","","","","","","","","","","","",""
"2017-05-19","3117","82.71","391.42","96.88","64","99.12","20410","323.73","62","224.61","","334.57","","388.25","110.33",""
"2017-05-22","3170","","","","","","","","","","","","","","",""
"2017-05-23","3153","","","","","","","","","","","","","","",""
"2017-05-24","3128","","","","","","","","","","","","","","",""
"2017-05-25","3133","","","","","","","","","","","","","","",""
"2017-05-26","3116","79.54","391.42","93.75","64","98.02","20410","311.35","60","213.33","","317.83","","381.77","106.56",""
"2017-05-31","3037","","","","","","","","","","","","","","",""
"2017-06-01","3021","","","","","","","","","","","","","","",""
"2017-06-02","3012","79.14","391.42","93.75","64","98.46","20410","309.78","60","211.32","","315.3","","376.25","101.25",""
"2017-06-05","2936","","","","","","","","","","","","","","",""
"2017-06-06","2938","","","","","","","","","","","","","","",""
"2017-06-07","2957","","","","","","","","","","","","","","",""
"2017-06-08","2974","","","","","","","","","","","","","","",""
"2017-06-09","3074","79.88","391.42","93.75","64","98.57","20410","312.68","60","214.11","","318.27","","370.66","97.78",""
"2017-06-12","3104","","","","","","","","","","","","","","",""
"2017-06-13","3006","","","","","","","","","","","","","","",""
"2017-06-14","3120","","","","","","","","","","","","","","",""
"2017-06-15","3185","","","","","","","","","","","","","","",""
"2017-06-16","3164","80.56","391.42","96.88","64","98.67","20410","315.34","62","216.67","","332.17","","353.83","94.66",""
"2017-06-19","3236","","","","","","","","","","","","","","",""
"2017-06-20","3228","","","","","","","","","","","","","","",""
"2017-06-21","3197","","","","","","","","","","","","","","",""
"2017-06-22","3194","","","","","","","","","","","","","","",""
"2017-06-23","3238","81.54","391.42","96.88","64","95.83","20410","319.15","62","223.32","","334.32","","338.66","90.57",""
"2017-06-26","3288","","","","","","","","","","","","","","",""
"2017-06-27","3350","","","","","","","","","","","","","","",""
"2017-06-28","3389","","","","","","","","","","","","","","",""
"2017-06-29","3377","","","","","","","","","","","","","","",""
"2017-06-30","3383","81.55","391.42","96.88","64","94","20410","319.19","62","225.19","","330.77","","327.08","90.24",""
"2017-07-03","3460","","","","","","","","","","","","","","",""
"2017-07-04","3391","","","","","","","","","","","","","","",""
"2017-07-05","3430","","","","","","","","","","","","","","",""
"2017-07-06","3414","","","","","","","","","","","","","","",""
"2017-07-07","3444","82.42","391.42","93.75","64","95.2","20410","322.61","60","227.41","","336.43","","313.26","87.73",""
"2017-07-10","3452","","","","","","","","","","","","","","",""
"2017-07-11","3569","","","","","","","","","","","","","","",""
"2017-07-12","3590","","","","","","","","","","","","","","",""
"2017-07-13","3680","","","","","","","","","","","","","","",""
"2017-07-14","3598","82.8","391.42","90.63","64","98.13","20410","324.1","62","225.97","","329.48","","307.88","87.43",""
"2017-07-17","3698","","","","","","","","","","","","","","",""
"2017-07-18","3657","","","","","","","","","","","","","","",""
"2017-07-19","3731","","","","","","","","","","","","","","",""
"2017-07-20","3617","","","","","","","","","","","","","","",""
"2017-07-21","3629","83.92","391.42","96.88","64","99.93","20410","328.5","62","228.57","","325.3","","311.08","89.17",""
"2017-07-24","3586","","","","","","","","","","51642","","","","",""
"2017-07-25","3631","","","","","","","","","","57036","","","","",""
