date,close,预焙阳极：产量：中国（月）,废铝：回收量合计：中国（月）,废铝：社会库存：中国（月）,铝土矿：进口：港口库存：中国（周）,铝土矿：进口：压港量：中国港口（周）,铝土矿：进口：港口发运量：全球主要国家（周）,铝土矿：进口：海漂库存：全球主要国家（周）,国际铝业协会：氧化铝：产量：中国（月）,国际铝业协会：氧化铝：化学品级：产量：中国（月）,国际铝业协会：氧化铝：冶金级：产量：中国（月）,氧化铝：建成产能：中国（月）,氧化铝：运行产能：中国（月）,氧化铝：产量：中国（月）,氧化铝：港口库存：中国（周）,统计局：中国：工业产品：产量：电解铝（月）,国际铝业协会：原铝：产量：中国（月）,电解铝：建成产能：中国（月）,电解铝：运行产能：中国（月）,电解铝：产能利用率：中国（月）,电解铝：消费量：中国（月）,电解铝：供需平衡：中国（月）,电解铝：供应量：中国（月）,电解铝：铝水比例：中国（月）,电解铝：现货库存：中国（日）,电解铝：厂内库存：中国（周）,电解铝：出库量：中国（周）,SHFE：铝：期货库存（日）,SHFE：铝：期货库存：保税商品（日）,SHFE：铝：可用库容量（周）,铝板带箔：建成产能：中国（月）,铝板带箔：加权平均开工率：中国（月）,铝板带箔：产量：中国（月）,铝型材：产量：中国（月）,铝型材：加权平均开工率：中国（月）,铝杆线：开工率：中国（月）,铝杆线：运行产能：中国（月）,铝杆线：建成产能：中国（月）,铝杆：产量：中国（月）,铝棒：产量：中国（月）,铝棒：建成产能：中国（月）,铝棒：运行产能：中国（月）,铝棒：6063：厂内库存：中国（周）,原铝系铝合金锭：建成产能：中国（月）,再生铝合金锭：建成产能：中国（月）,原铝系铝合金锭：开工率：中国（月）,再生铝合金锭：开工率：中国（月）,原铝系铝合金锭：产量：中国（月）,再生铝合金锭：产量：中国（月）,电解铝：产量：中国（周）,电解铝：净进口数量：中国（月）,SHFE：铝：交割库库存（周）,SHFE：铝：可用库容量：保税商品（周）,铝棒：出库量（周）,铝棒：6063：现货库存：中国（日）
"2015-10-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","136736","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-23","","","","","","","","","","","","","","","121","","","","","","","","","","107.6","","","136312","0","619498","","","","","","","","","","","","","","","","","","","","","","290400","19831","",""
"2015-10-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","136589","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","136289","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","136164","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","135862","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-10-30","","","","","","","","","","","","","","","124","","","","","","","","","","105.4","","","135660","0","619084","","","","","","","","","","","","","","","","","","","","","","280617","19831","",""
"2015-10-31","","","","","","","","",4996,"198","4798","","","","","267.7","2662","","","","","","","65.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","135460","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","135036","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","134860","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","134255","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-06","","","","","","","","","","","","","","","126","","","","","","","","","","103.4","","","134104","0","618788","","","","","","","","","","","","","","","","","","","","","","279844","19831","",""
"2015-11-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","136877","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","137349","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","137524","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","139896","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-13","","","","","","","","","","","","","","","127","","","","","","","","","","101.6","","","142162","0","612337","","","","","","","","","","","","","","","","","","","","","","278588","19831","",""
"2015-11-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","150329","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","152554","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","152379","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","152229","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-20","","","","","","","","","","","","","","","121","","","","","","","","","","97.8","","","151479","0","603317","","","","","","","","","","","","","","","","","","","","","","283001","19831","",""
"2015-11-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","151279","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","150951","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","151848","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","151697","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-11-27","","","","","","","","","","","","","","","123","","","","","","","","","","93.2","","","152662","0","603634","","","","","","","","","","","","","","","","","","","","","","283963","19831","",""
"2015-11-30","","","","","","","","","4938","191","4747","","","","","268.3","2671","","","","","","","63.8","","","","157435","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","157234","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","158010","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","162854","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-04","","","","","","","","","","","","","","","122","","","","","","","","","","89.7","","","166470","0","593193","","","","","","","","","","","","","","","","","","","","","","289420","19831","",""
"2015-12-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","166244","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","171510","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","179413","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","182061","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-11","","","","","","","","","","","","","","","126","","","","","","","","","","87.3","","","182283","0","578784","","","","","","","","","","","","","","","","","","","","","","296806","19831","",""
"2015-12-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","183833","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","202402","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","204619","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","204619","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-18","","","","","","","","","","","","","","","125","","","","","","","","","","80.8","","","204471","0","553458","","","","","","","","","","","","","","","","","","","","","","297735","19831","",""
"2015-12-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","204019","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","204019","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","202995","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","202995","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-25","","","","","","","","","","","","","","","126","","","","","","","","","","72.3","","","202995","0","554126","","","","","","","","","","","","","","","","","","","","","","296140","19831","",""
"2015-12-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","202596","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","202395","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","201701","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015-12-31","","","","","","","","","5002","195","4807","","","","","253.1","2518","","","","","","","60","","","","200395","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-01","","","","","","","","","","","","","","","","","","","","","","","","","71.3","","","","","556926","","","","","","","","","","","","","","","","","","","","","","297037","19831","",""
"2016-01-04","10630","","","","","","","","","","","","","","","","","","","","","","","","","","","200370","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-05","10770","","","","","","","","","","","","","","","","","","","","","","","","","","","200570","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-06","10685","","","","","","","","","","","","","","","","","","","","","","","","","","","201368","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-07","10675","","","","","","","","","","","","","","","","","","","","","","","","","","","202589","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-08","10745","","","","","","","","","","","","","","115","","","","","","","","","","70.4","","","205073","0","549828","","","","","","","","","","","","","","","","","","","","","","302976","19831","",""
"2016-01-11","10815","","","","","","","","","","","","","","","","","","","","","","","","","","","207868","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-12","10580","","","","","","","","","","","","","","","","","","","","","","","","","","","208920","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-13","10595","","","","","","","","","","","","","","","","","","","","","","","","","","","210339","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-14","10700","","","","","","","","","","","","","","","","","","","","","","","","","","","213184","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-15","10650","","","","","","","","","","","","","","116","","","","","","","","","","67.6","","","220495","0","523732","","","","","","","","","","","","","","","","","","","","","","301547","19798","",""
"2016-01-18","10725","","","","","","","","","","","","","","","","","","","","","","","","","","","219798","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-19","10810","","","","","","","","","","","","","","","","","","","","","","","","","","","219572","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-20","10690","","","","","","","","","","","","","","","","","","","","","","","","","","","217004","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-21","10655","","","","","","","","","","","","","","","","","","","","","","","","","","","214578","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-22","10815","","","","","","","","","","","","","","126","","","","","","","","","","64.2","","","211435","0","531917","","","","","","","","","","","","","","","","","","","","","","299272","19640","",""
"2016-01-25","10710","","","","","","","","","","","","","","","","","","","","","","","","","","","203408","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-26","10725","","","","","","","","","","","","","","","","","","","","","","","","","","","202035","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-27","10785","","","","","","","","","","","","","","","","","","","","","","","","","","","198236","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-28","10745","","","","","","","","","","","","","","","","","","","","","","","","","","","197157","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-29","10725","","","","","","","","","","","","","","120.6","","","","","","","","","","61.9","","","196983","0","544303","","","","","","","","","","","","","","","","","","","","","","296845","19482","",""
"2016-01-31","","","","","","","","","4852","191","4661","","","","","","2480","3984","3055.3","76.69","","","","59","","","","","","","1095","","","","","","","","","71.49","","","","","","","","","","","","","","",""
"2016-02-01","10620","","","","","","","","","","","","","","","","","","","","","","","","","","","196832","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-02","10675","","","","","","","","","","","","","","","","","","","","","","","","","","","196832","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-03","10710","","","","","","","","","","","","","","","","","","","","","","","","","","","197080","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-04","10900","","","","","","","","","","","","","","","","","","","","","","","","","","","197080","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-05","10800","","","","","","","","","","","","","","122","","","","","","","","","","82.3","","","197203","0","538865","","","","","","","","","","","","","","","","","","","","","","297455","18966","",""
"2016-02-12","","","","","","","","","","","","","","","","","","","","","","","","","82.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-15","10875","","","","","","","","","","","","","","","","","","","","","","","","","","","209056","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-16","11045","","","","","","","","","","","","","","","","","","","","","","","","","","","211400","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-17","10980","","","","","","","","","","","","","","","","","","","","","","","","","","","211200","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-18","10965","","","","","","","","","","","","","","","","","","","","","","","","","","","210699","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-19","11060","","","","","","","","","","","","","","121","","","","","","","","","","92.2","","","210249","0","523142","","","","","","","","","","","","","","","","","","","","","","303584","18966","",""
"2016-02-22","11210","","","","","","","","","","","","","","","","","","","","","","","","","","","210946","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-23","11225","","","","","","","","","","","","","","","","","","","","","","","","","","","210403","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-24","11150","","","","","","","","","","","","","","","","","","","","","","","","","","","210802","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-25","11230","","","","","","","","","","","","","","","","","","","","","","","","","","","212709","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-26","11265","","","","","","","","","","","","","","108.6","","","","","","","","","","95.9","","","211611","0","517384","","","","","","","","","","","","","","","","","","","","","","316712","18966","",""
"2016-02-29","11265","","","","","","","","4168","140","4028","","","","","","2070","3984","3057.3","76.74","","","","60.3","","","","213536","0","","1095","","","","","","","","","52.4","","","","","","","","","","","","","","","4.72"
"2016-03-01","11185","","","","","","","","","","","","","","","","","","","","","","","","","","","217205","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-02","11325","","","","","","","","","","","","","","","","","","","","","","","","","","","218604","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-03","11365","","","","","","","","","","","","","","","","","","","","","","","","","","","224109","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-04","11435","","","","","","","","","","","","","","100","","","","","","","","","","98.2","","","228887","0","496904","","","","","","","","","","","","","","","","","","","","","","329765","18966","",""
"2016-03-07","11455","","","","","","","","","","","","","","","","","","","","","","","","","","","234806","0","","","","","","","","","","","","","","","","","","","","","","","","","","4.63"
"2016-03-08","11535","","","","","","","","","","","","","","","","","","","","","","","","","","","235406","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-09","11370","","","","","","","","","","","","","","","","","","","","","","","","","","","243998","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-10","11315","","","","","","","","","","","","","","","","","","","","","","","","","","","244072","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-11","11375","","","","","","","","","","","","","","98.5","","","","","","","","","","97.7","","","247786","0","471122","","","","","","","","","","","","","","","","","","","","","","339263","18966","",""
"2016-03-14","11335","","","","","","","","","","","","","","","","","","","","","","","","","","","247133","0","","","","","","","","","","","","","","","","","","","","","","","","","","4.6"
"2016-03-15","11300","","","","","","","","","","","","","","","","","","","","","","","","","","","246933","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-16","11275","","","","","","","","","","","","","","","","","","","","","","","","","","","250494","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-17","11340","","","","","","","","","","","","","","","","","","","","","","","","","","","249317","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-18","11455","","","","","","","","","","","","","","92.6","","","","","","","","","","94.6","","","246554","0","471293","","","","","","","","","","","","","","","","","","","","","","341615","18966","",""
"2016-03-21","11485","","","","","","","","","","","","","","","","","","","","","","","","","","","240662","0","","","","","","","","","","","","","","","","","","","","","","","","","","5.2"
"2016-03-22","11515","","","","","","","","","","","","","","","","","","","","","","","","","","","238716","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-23","11500","","","","","","","","","","","","","","","","","","","","","","","","","","","236125","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-24","11525","","","","","","","","","","","","","","","","","","","","","","","","","","","235729","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-25","11700","","","","","","","","","","","","","","106","","","","","","","","","","87.9","","","232766","0","484829","","","","","","","","","","","","","","","","","","","","","","330418","19299","",""
"2016-03-28","11740","","","","","","","","","","","","","","","","","","","","","","","","","","","229350","0","","","","","","","","","","","","","","","","","","","","","","","","","","6.23"
"2016-03-29","11755","","","","","","","","","","","","","","","","","","","","","","","","","","","230481","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-30","11740","","","","","","","","","","","","","","","","","","","","","","","","","","","226537","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-31","11775","","","","","","","","4787","193","4594","","","","","261.8","2620","4014","3110.8","77.5","","","","62","","","","225519","0","","1095","","","","","","","","","80.38","","","","","","","","","","","","","","",""
"2016-04-01","11890","","","","","","","","","","","","","","101","","","","","","","","","","83.9","","","223696","0","493267","","","","","","","","","","","","","","","","","","","","","","326410","19299","",""
"2016-04-05","11870","","","","","","","","","","","","","","","","","","","","","","","","","","","221119","0","","","","","","","","","","","","","","","","","","","","","","","","","","6.15"
"2016-04-06","11765","","","","","","","","","","","","","","","","","","","","","","","","","","","219175","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-07","11780","","","","","","","","","","","","","","","","","","","","","","","","","","","215759","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-08","11635","","","","","","","","","","","","","","105","","","","","","","","","","80.7","","","211020","0","507690","","","","","","","","","","","","","","","","","","","","","","323915","19299","",""
"2016-04-11","11775","","","","","","","","","","","","","","","","","","","","","","","","","","","208321","0","","","","","","","","","","","","","","","","","","","","","","","","","","6.53"
"2016-04-12","11785","","","","","","","","","","","","","","","","","","","","","","","","","","","208866","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-13","11945","","","","","","","","","","","","","","","","","","","","","","","","","","","206520","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-14","11960","","","","","","","","","","","","","","","","","","","","","","","","","","","203694","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-15","11960","","","","","","","","","","","","","","103.5","","","","","","","","","","75.4","","","203422","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-18","11955","","","","","","","","","","","","","","","","","","","","","","","","","","","204243","0","","","","","","","","","","","","","","","","","","","","","","","","","","5.1"
"2016-04-19","12035","","","","","","","","","","","","","","","","","","","","","","","","","","","203043","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-20","12075","","","","","","","","","","","","","","","","","","","","","","","","","","","199397","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-21","12400","","","","","","","","","","","","","","","","","","","","","","","","","","","192167","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-22","12805","","","","","","","","","","","","","","104.5","","","","","","","","","","69.5","","","186751","0","540529","","","","","","","","","","","","","","","","","","","","","","319381","19299","",""
"2016-04-25","12885","","","","","","","","","","","","","","","","","","","","","","","","","","","180175","0","","","","","","","","","","","","","","","","","","","","","","","","","","3.98"
"2016-04-26","12790","","","","","","","","","","","","","","","","","","","","","","","","","","","176359","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-27","12820","","","","","","","","","","","","","","","","","","","","","","","","","","","173885","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-28","12485","","","","","","","","","","","","","","","","","","","","","","","","","","","171527","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-29","12705","","","","","","","","","","","","","","113.5","","","","","","","","","","65.7","","","168642","0","559787","","","","","","","","","","","","","","","","","","","","","","309201","19399","",""
"2016-04-30","","","","","","","","","4865","209","4656","","","","","256.9","2569","4097","3177.8","77.56","","","","70.3","","","","","","","1095","","","","","","","","","82.24","","","","","","","","","","","","","","",""
"2016-05-02","","","","","","","","","","","","","","","","","","","","","","","","","65.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-03","12805","","","","","","","","","","","","","","","","","","","","","","","","","","","167671","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-04","12475","","","","","","","","","","","","","","","","","","","","","","","","","","","166056","0","","","","","","","","","","","","","","","","","","","","","","","","","","3.92"
"2016-05-05","12455","","","","","","","","","","","","","","","","","","","","","","","","64.4","","","164852","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-06","12340","","","","","","","","","","","","","","110.5","","","","","","","","","","","","12.9","159664","0","567628","","","","","","","","","","","","","","","","","","","","","","301439","19399","",""
"2016-05-09","12055","","","","","","","","","","","","","","","","","","","","","","","","64.2","","","152379","0","","","","","","","","","","","","","","","","","","","","","","","","","","3.09"
"2016-05-10","11910","","","","","","","","","","","","","","","","","","","","","","","","","","","155734","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-11","12120","","","","","","","","","","","","","","","","","","","","","","","","","","","151032","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-12","12170","","","","","","","","","","","","","","","","","","","","","","","","62.2","","","147910","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-13","12070","","","","","","","","","","","","","","114","","","","","","","","","","","","15.5","148156","0","584179","","","","","","","","","","","","","","","","","","","","","","293187","19399","",""
"2016-05-16","12225","","","","","","","","","","","","","","","","","","","","","","","","61.5","","","145910","0","","","","","","","","","","","","","","","","","","","","","","","","","","2.4"
"2016-05-17","12435","","","","","","","","","","","","","","","","","","","","","","","","","","","141656","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-18","12270","","","","","","","","","","","","","","","","","","","","","","","","","","","138419","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-19","12325","","","","","","","","","","","","","","","","","","","","","","","","58.9","","","130427","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-20","12435","","","","","","","","","","","","","","113","","","","","","","","","","","","17.2","119839","0","617188","","","","","","","","","","","","","","","","","","","","","","271033","19399","",""
"2016-05-23","12275","","","","","","","","","","","","","","","","","","","","","","","","56.1","","","111809","0","","","","","","","","","","","","","","","","","","","","","","","","","","1.68"
"2016-05-24","12270","","","","","","","","","","","","","","","","","","","","","","","","","","","106713","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-25","12065","","","","","","","","","","","","","","","","","","","","","","","","","","","100508","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-26","12185","","","","","","","","","","","","","","","","","","","","","","","","51.9","","","93502","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
