date,close,棉花：开工率：中国（周）,新疆棉：轧花厂：加工量（日）,USDA：棉花：产量预测值：全球（月）,USDA：棉花：供给量预测值：全球（月）,USDA：棉花：国内需求消耗量预测值：全球（月）,USDA：棉花：产量预测值：中国（月）,USDA：棉花：出口数量预测值：中国（月）,USDA：棉花：国内需求消耗量预测值：中国（月）,USDA：棉花：进口数量预测值：中国（月）,USDA：棉花：期初库存预测：中国（月）,USDA：棉花：期末库存预测：中国（月）,USDA：棉花：损失量预测值：中国（月）,棉花：库存：中国主要港口（周）,棉花：港口库存（周）,棉花：商业库存：中国（周）,棉花：库存：新疆（周）,棉花：库存：中国内地（周）,棉花：纺织企业：工业库存：中国（月）,棉花：工业：库存：中国（月）,纺纱厂：棉花：折存天数（周）
"2015-11-14","","","46231.33","","","","","","","","","","","","","","","","","",""
"2015-11-15","","","40705.23","","","","","","","","","","","","","","","","","",""
"2015-11-16","","","44447.23","","","","","","","","","","","","","","","","","",""
"2015-11-17","","","38865.72","","","","","","","","","","","","","","","","","",""
"2015-11-18","","","39656.76","","","","","","","","","","","","","","","","","",""
"2015-11-19","","","39161.15","","","","","","","","","","","","","","","","","",""
"2015-11-20","","","37135.33","","","","","","","","","","","","","","","","","",""
"2015-11-21","","","33681.79","","","","","","","","","","","","","","","","","",""
"2015-11-22","","","34708.84","","","","","","","","","","","","","","","","","",""
"2015-11-23","","","34439.26","","","","","","","","","","","","","","","","","",""
"2015-11-24","","","35309.86","","","","","","","","","","","","","","","","","",""
"2015-11-25","","","35466.14","","","","","","","","","","","","","","","","","",""
"2015-11-26","","","35925.13","","","","","","","","","","","","","","","","","",""
"2015-11-27","","","34797.51","","","","","","","","","","","","","","","","","",""
"2015-11-28","","","32167.62","","","","","","","","","","","","","","","","","",""
"2015-11-29","","","28767.69","","","","","","","","","","","","","","","","","",""
"2015-11-30","","","29759.64","105.63","217.56","111.59","25","0.2","33","5.75","67.92","65.47","0","","","","","","41","",""
"2015-12-01","","","30211.1","","","","","","","","","","","","","","","","","",""
"2015-12-02","","","27596.81","","","","","","","","","","","","","","","","","",""
"2015-12-03","","","26123.68","","","","","","","","","","","","","","","","","",""
"2015-12-04","","","26863.5","","","","","","","","","","","","","","","","","",""
"2015-12-05","","","23551.37","","","","","","","","","","","","","","","","","",""
"2015-12-06","","","23035.79","","","","","","","","","","","","","","","","","",""
"2015-12-07","","","22046.93","","","","","","","","","","","","","","","","","",""
"2015-12-08","","","21447.78","","","","","","","","","","","","","","","","","",""
"2015-12-09","","","19980.17","","","","","","","","","","","","","","","","","",""
"2015-12-10","","","17080.58","","","","","","","","","","","","","","","","","",""
"2015-12-11","","","16891.94","","","","","","","","","","","","","","","","","",""
"2015-12-12","","","11682.79","","","","","","","","","","","","","","","","","",""
"2015-12-13","","","10340.75","","","","","","","","","","","","","","","","","",""
"2015-12-14","","","11729.56","","","","","","","","","","","","","","","","","",""
"2015-12-15","","","11794.53","","","","","","","","","","","","","","","","","",""
"2015-12-16","","","12705.64","","","","","","","","","","","","","","","","","",""
"2015-12-17","","","11132.81","","","","","","","","","","","","","","","","","",""
"2015-12-18","","","11841.4","","","","","","","","","","","","","","","","","",""
"2015-12-19","","","11272.38","","","","","","","","","","","","","","","","","",""
"2015-12-20","","","11469.3","","","","","","","","","","","","","","","","","",""
"2015-12-21","","","11486.26","","","","","","","","","","","","","","","","","",""
"2015-12-22","","","8647.75","","","","","","","","","","","","","","","","","",""
"2015-12-23","","","10462.41","","","","","","","","","","","","","","","","","",""
"2015-12-24","","","7602.53","","","","","","","","","","","","","","","","","",""
"2015-12-25","","","9865.89","","","","","","","","","","","","","","","","","",""
"2015-12-26","","","7407.13","","","","","","","","","","","","","","","","","",""
"2015-12-27","","","7102.21","","","","","","","","","","","","","","","","","",""
"2015-12-28","","","8447.59","","","","","","","","","","","","","","","","","",""
"2015-12-29","","","6207.08","","","","","","","","","","","","","","","","","",""
"2015-12-30","","","6010","","","","","","","","","","","","","","","","","",""
"2015-12-31","","","5414","103.71","215.72","111.39","24.3","0.2","32.5","5.5","67.92","65.02","0","","","","","","42.5","",""
"2016-01-01","","","4131.6","","","","","","","","","","","","","","","","","",""
"2016-01-02","","","5213.15","","","","","","","","","","","","","","","","","",""
"2016-01-03","","","5781.78","","","","","","","","","","","","","","","","","",""
"2016-01-04","11280","","6326.38","","","","","","","","","","","","","","","","","",""
"2016-01-05","11200","","3925.32","","","","","","","","","","","","","","","","","",""
"2016-01-06","11320","","4341.22","","","","","","","","","","","","","","","","","",""
"2016-01-07","11335","","4724.8","","","","","","","","","","","","","","","","","",""
"2016-01-08","11315","","3815.14","","","","","","","","","","","","","","","","","",""
"2016-01-09","","","4658.65","","","","","","","","","","","","","","","","","",""
"2016-01-10","","","4775.86","","","","","","","","","","","","","","","","","",""
"2016-01-11","11280","","4262.91","","","","","","","","","","","","","","","","","",""
"2016-01-12","11280","","4030.57","","","","","","","","","","","","","","","","","",""
"2016-01-13","11310","","2570.18","","","","","","","","","","","","","","","","","",""
"2016-01-14","11305","","2427.78","","","","","","","","","","","","","","","","","",""
"2016-01-15","11215","","2686.45","","","","","","","","","","","","","","","","","",""
"2016-01-16","","","2264.66","","","","","","","","","","","","","","","","","",""
"2016-01-17","","","1842.58","","","","","","","","","","","","","","","","","",""
"2016-01-18","11200","","2737.96","","","","","","","","","","","","","","","","","",""
"2016-01-19","11270","","1999.84","","","","","","","","","","","","","","","","","",""
"2016-01-20","11375","","1825.08","","","","","","","","","","","","","","","","","",""
"2016-01-21","11380","","1283.88","","","","","","","","","","","","","","","","","",""
"2016-01-22","11420","","1343.49","","","","","","","","","","","","","","","","","",""
"2016-01-23","","","1022.26","","","","","","","","","","","","","","","","","",""
"2016-01-24","","","1376.7","","","","","","","","","","","","","","","","","",""
"2016-01-25","11415","","706.21","","","","","","","","","","","","","","","","","",""
"2016-01-26","11420","","864.67","","","","","","","","","","","","","","","","","",""
"2016-01-27","11450","","781.35","","","","","","","","","","","","","","","","","",""
"2016-01-28","11405","","1024.42","","","","","","","","","","","","","","","","","",""
"2016-01-29","11375","","500.26","","","","","","","","","","","","","","","","","",""
"2016-01-30","","","549.82","","","","","","","","","","","","","","","","","",""
"2016-01-31","","","390.78","101.56","213.62","110.94","23.8","0.2","32.5","5.5","67.92","64.52","0","","","","","","44.5","",""
"2016-02-01","11375","","","","","","","","","","","","","","","","","","","",""
"2016-02-02","10870","","","","","","","","","","","","","","","","","","","",""
"2016-02-03","11460","","","","","","","","","","","","","","","","","","","",""
"2016-02-04","10590","","","","","","","","","","","","","","","","","","","",""
"2016-02-05","10565","","","","","","","","","","","","","","","","","","","",""
"2016-02-15","11150","","","","","","","","","","","","","","","","","","","",""
"2016-02-16","10485","","","","","","","","","","","","","","","","","","","",""
"2016-02-17","10530","","","","","","","","","","","","","","","","","","","",""
"2016-02-18","10565","","","","","","","","","","","","","","","","","","","",""
"2016-02-19","10460","","","","","","","","","","","","","","","","","","","",""
"2016-02-22","10505","","","","","","","","","","","","","","","","","","","",""
"2016-02-23","10485","","","","","","","","","","","","","","","","","","","",""
"2016-02-24","10325","","","","","","","","","","","","","","","","","","","",""
"2016-02-25","10160","","","","","","","","","","","","","","","","","","","",""
"2016-02-26","10080","","","","","","","","","","","","","","","","","","","",""
"2016-02-29","9990","","","101.38","213.55","109.6","23.8","0.2","32","5","67.92","64.52","0","","","","","","30.3","",""
"2016-03-01","10045","","","","","","","","","","","","","","","","","","","",""
"2016-03-02","10045","","","","","","","","","","","","","","","","","","","",""
"2016-03-03","10155","","","","","","","","","","","","","","","","","","","",""
"2016-03-04","10235","","","","","","","","","","","","","","","","","","","",""
"2016-03-07","10540","","","","","","","","","","","","","","","","","","","",""
"2016-03-08","10410","","","","","","","","","","","","","","","","","","","",""
"2016-03-09","10290","","","","","","","","","","","","","","","","","","","",""
"2016-03-10","10180","","","","","","","","","","","","","","","","","","","",""
"2016-03-11","10110","","","","","","","","","","","","","","","","","","","",""
"2016-03-14","10115","","","","","","","","","","","","","","","","","","","",""
"2016-03-15","10100","","","","","","","","","","","","","","","","","","","",""
"2016-03-16","10110","","","","","","","","","","","","","","","","","","","",""
"2016-03-17","10185","","","","","","","","","","","","","","","","","","","",""
"2016-03-18","10380","","","","","","","","","","","","","","","","","","","",""
"2016-03-21","10500","","","","","","","","","","","","","","","","","","","",""
"2016-03-22","10450","","","","","","","","","","","","","","","","","","","",""
"2016-03-23","10535","","","","","","","","","","","","","","","","","","","",""
"2016-03-24","10355","","","","","","","","","","","","","","","","","","","",""
"2016-03-25","10420","","","","","","","","","","","","","","","","","","","",""
"2016-03-28","10355","","","","","","","","","","","","","","","","","","","",""
"2016-03-29","10235","","","","","","","","","","","","","","","","","","","",""
"2016-03-30","10295","","","","","","","","","","","","","","","","","","","",""
"2016-03-31","10200","","","100.22","212.39","109.21","23.8","0.2","32","5","67.92","64.52","0","","","","","","33","",""
"2016-04-01","10240","","","","","","","","","","","","","","","","","","","",""
"2016-04-05","10315","","","","","","","","","","","","","","","","","","","",""
"2016-04-06","10430","","","","","","","","","","","","","","","","","","","",""
"2016-04-07","10375","","","","","","","","","","","","","","","","","","","",""
"2016-04-08","10395","","","","","","","","","","","","","","","","","","","",""
"2016-04-11","10790","","","","","","","","","","","","","","","","","","","",""
"2016-04-12","10880","","","","","","","","","","","","","","","","","","","",""
"2016-04-13","11325","","","","","","","","","","","","","","","","","","","",""
"2016-04-14","11575","","","","","","","","","","","","","","","","","","","",""
"2016-04-15","11255","","","","","","","","","","","","","","","","","","","",""
"2016-04-18","11775","","","","","","","","","","","","","","","","","","","",""
"2016-04-19","12175","","","","","","","","","","","","","","","","","","","",""
"2016-04-20","12650","","","","","","","","","","","","","","","","","","","",""
"2016-04-21","13355","","","","","","","","","","","","","","","","","","","",""
"2016-04-22","12840","","","","","","","","","","","","","","","","","","","",""
"2016-04-25","12810","","","","","","","","","","","","","","","","","","","",""
"2016-04-26","12940","","","","","","","","","","","","","","","","","","","",""
"2016-04-27","12805","","","","","","","","","","","","","","","","","","","",""
"2016-04-28","12350","","","","","","","","","","","","","","","","","","","",""
"2016-04-29","12555","","","","","","","","","","","","","","","","","","","",""
"2016-04-30","","","","99.8","211.68","109.59","23.8","0.2","32.5","5","67.92","64.02","0","","","","","","33","",""
"2016-05-03","12755","","","","","","","","","","","","","","","","","","","",""
"2016-05-04","12530","","","","","","","","","","","","","","","","","","","",""
"2016-05-05","12565","","","","","","","","","","","","","","","","","","","",""
"2016-05-06","12350","","","","","","","","","","","","","","","","","","","",""
"2016-05-09","12165","","","","","","","","","","","","","","","","","","","",""
"2016-05-10","12240","","","","","","","","","","","","","","","","","","","",""
"2016-05-11","12335","","","","","","","","","","","","","","","","","","","",""
"2016-05-12","12530","","","","","","","","","","","","","","","","","","","",""
"2016-05-13","12300","","","","","","","","","","","","","","","","","","","",""
"2016-05-16","12335","","","","","","","","","","","","","","","","","","","",""
"2016-05-17","12440","","","","","","","","","","","","","","","","","","","",""
"2016-05-18","12550","","","","","","","","","","","","","","","","","","","",""
"2016-05-19","12740","","","","","","","","","","","","","","","","","","","",""
"2016-05-20","12745","","","","","","","","","","","","","","","","","","","",""
"2016-05-23","12390","","","","","","","","","","","","","","","","","","","",""
"2016-05-24","12415","","","","","","","","","","","","","","","","","","","",""
"2016-05-25","12480","","","","","","","","","","","","","","","","","","","",""
"2016-05-26","13035","","","","","","","","","","","","","","","","","","","",""
"2016-05-27","13100","","","","","","","","","","","","","","","","","","","",""
"2016-05-30","13330","","","","","","","","","","","","","","","","","","","",""
"2016-05-31","12840","","","104.36","207.2","110.78","22.5","0.1","33.5","4.5","63.32","56.72","0","","","","","","38.4","",""
"2016-06-01","12575","","","","","","","","","","","","","","","","","","","",""
"2016-06-02","12590","","","","","","","","","","","","","","","","","","","",""
"2016-06-03","12470","","","","","","","","","","","","","","","","","","","",""
"2016-06-06","12675","","","","","","","","","","","","","","","","","","","",""
"2016-06-07","13005","","","","","","","","","","","","","","","","","","","",""
"2016-06-08","12900","","","","","","","","","","","","","","","","","","","",""
"2016-06-13","13025","","","","","","","","","","","","","","","","","","","",""
"2016-06-14","12845","","","","","","","","","","","","","","","","","","","",""
"2016-06-15","12780","","","","","","","","","","","","","","","","","","","",""
"2016-06-16","13000","","","","","","","","","","","","","","","","","","","",""
"2016-06-17","13480","","","","","","","","","","","","","","","","","","","",""
"2016-06-20","13455","","","","","","","","","","","","","","","","","","","",""
"2016-06-21","13030","","","","","","","","","","","","","","","","","","","",""
"2016-06-22","13210","","","","","","","","","","","","","","","","","","","",""
"2016-06-23","13430","","","","","","","","","","","","","","","","","","","",""
"2016-06-24","13345","","","","","","","","","","","","","","","","","","","",""
"2016-06-27","13585","","","","","","","","","","","","","","","","","","","",""
"2016-06-28","14040","","","","","","","","","","","","","","","","","","","",""
"2016-06-29","14670","","","","","","","","","","","","","","","","","","","",""
"2016-06-30","14725","","","103.17","205.24","110.59","21.5","0.1","33.5","4.5","62.3","54.7","0","","","","","","46.9","",""
"2016-07-01","14735","","","","","","","","","","","","","","","","","","","",""
"2016-07-04","15425","","","","","","","","","","","","","","","","","","","",""
"2016-07-05","15000","","","","","","","","","","","","","","","","","","","",""
"2016-07-06","14875","","","","","","","","","","","","","","","","","","","",""
"2016-07-07","14910","","","","","","","","","","","","","","","","","","","",""
"2016-07-08","14350","","","","","","","","","","","","","","","","","","","",""
"2016-07-11","15045","","","","","","","","","","","","","","","","","","","",""
"2016-07-12","15380","","","","","","","","","","","","","","","","","","","",""
"2016-07-13","15730","","","","","","","","","","","","","","","","","","","",""
"2016-07-14","15855","","","","","","","","","","","","","","","","","","","",""
"2016-07-15","15975","","","","","","","","","","","","","","","","","","","",""
"2016-07-18","15765","","","","","","","","","","","","","","","","","","","",""
"2016-07-19","15675","","","","","","","","","","","","","","","","","","","",""
"2016-07-20","15305","","","","","","","","","","","","","","","","","","","",""
"2016-07-21","15485","","","","","","","","","","","","","","","","","","","",""
"2016-07-22","15195","","","","","","","","","","","","","","","","","","","",""
"2016-07-25","15340","","","","","","","","","","","","","","","","","","","",""
"2016-07-26","15450","","","","","","","","","","","","","","","","","","","",""
"2016-07-27","15680","","","","","","","","","","","","","","","","","","","",""
"2016-07-28","14905","","","","","","","","","","","","","","","","","","","",""
"2016-07-29","14545","","","","","","","","","","","","","","","","","","","",""
"2016-07-31","","","","102.55","202.82","111.6","21.5","0.1","35","4.5","60.8","51.7","0","","","","","","58.7","",""
"2016-08-01","14765","","","","","","","","","","","","","","","","","","","",""
"2016-08-02","14700","","","","","","","","","","","","","","","","","","","",""
"2016-08-03","14505","","","","","","","","","","","","","","","","","","","",""
"2016-08-04","14710","","","","","","","","","","","","","","","","","","","",""
"2016-08-05","15155","","","","","","","","","","","","","","","","","","","",""
"2016-08-08","14755","","","","","","","","","","","","","","","","","","","",""
"2016-08-09","14690","","","","","","","","","","","","","","","","","","","",""
"2016-08-10","14745","","","","","","","","","","","","","","","","","","","",""
"2016-08-11","14730","","","","","","","","","","","","","","","","","","","",""
"2016-08-12","14660","","","","","","","","","","","","","","","","","","","",""
"2016-08-15","14700","","","","","","","","","","","","","","","","","","","",""
"2016-08-16","14635","","","","","","","","","","","","","","","","","","","",""
"2016-08-17","14770","","","","","","","","","","","","","","","","","","","",""
"2016-08-18","14820","","","","","","","","","","","","","","","","","","","",""
"2016-08-19","14645","","","","","","","","","","","","","","","","","","","",""
"2016-08-22","14520","","","","","","","","","","","","","","","","","","","",""
"2016-08-23","14565","","","","","","","","","","","","","","","","","","","",""
"2016-08-24","14575","","","","","","","","","","","","","","","","","","","",""
"2016-08-25","13980","","","","","","","","","","","","","","","","","","","",""
"2016-08-26","13965","","","","","","","","","","","","","","","","","","","",""
"2016-08-29","13825","","","","","","","","","","","","","","","","","","","",""
"2016-08-30","13850","","","","","","","","","","","","","","","","","","","",""
"2016-08-31","13590","","","101.58","200.76","111.26","21","0.1","35","4.5","60.3","50.7","0","","","","","","60.3","",""
"2016-09-01","13680","","","","","","","","","","","","","","","","","","","",""
"2016-09-02","13790","","","","","","","","","","","","","","","","","","","",""
"2016-09-05","13890","","2.04","","","","","","","","","","","","","","","","","",""
"2016-09-06","14115","","70.09","","","","","","","","","","","","","","","","","",""
"2016-09-07","14075","","103.27","","","","","","","","","","","","","","","","","",""
"2016-09-08","14155","","169.64","","","","","","","","","","","","","","","","","",""
"2016-09-09","14135","","276.92","","","","","","","","","","","","","","","","","",""
"2016-09-10","","","239.49","","","","","","","","","","","","","","","","","",""
"2016-09-11","","","427.16","","","","","","","","","","","","","","","","","",""
"2016-09-12","13870","","515.57","","","","","","","","","","","","","","","","","",""
"2016-09-13","14095","","520.79","","","","","","","","","","","","","","","","","",""
"2016-09-14","14205","","724.62","","","","","","","","","","","","","","","","","",""
"2016-09-15","","","1401.46","","","","","","","","","","","","","","","","","",""
"2016-09-16","","","2004.44","","","","","","","","","","","","","","","","","",""
"2016-09-17","","","2835.96","","","","","","","","","","","","","","","","","",""
"2016-09-18","","","3850.8","","","","","","","","","","","","","","","","","",""
"2016-09-19","14745","","2936.87","","","","","","","","","","","","","","","","","",""
"2016-09-20","14930","","4113.49","","","","","","","","","","","","","","","","","",""
"2016-09-21","14965","","4616.85","","","","","","","","","","","","","","","","","",""
"2016-09-22","14910","","5306.95","","","","","","","","","","","","","","","","","",""
"2016-09-23","14945","","7771.05","","","","","","","","","","","","","","","","","",""
"2016-09-24","","","8956.74","","","","","","","","","","","","","","","","","",""
"2016-09-25","","","10489.27","","","","","","","","","","","","","","","","","",""
"2016-09-26","15495","","13215.05","","","","","","","","","","","","","","","","","",""
"2016-09-27","15465","","16077.63","","","","","","","","","","","","","","","","","",""
"2016-09-28","15245","","19430.47","","","","","","","","","","","","","","","","","",""
"2016-09-29","15105","","20543.01","","","","","","","","","","","","","","","","","",""
"2016-09-30","15180","","24688.3","102.47","201.02","111.23","21","0.1","35","4.5","60.2","50.6","0","","","","","","71","",""
"2016-10-01","","","28233.23","","","","","","","","","","","","","","","","","",""
"2016-10-02","","","29253.85","","","","","","","","","","","","","","","","","",""
"2016-10-03","","","24770.29","","","","","","","","","","","","","","","","","",""
"2016-10-04","","","32522.84","","","","","","","","","","","","","","","","","",""
"2016-10-05","","","32779.33","","","","","","","","","","","","","","","","","",""
"2016-10-06","","","38951.26","","","","","","","","","","","","","","","","","",""
"2016-10-07","","","41828.47","","","","","","","","","","","","","","","","","",""
"2016-10-08","","","42299.73","","","","","","","","","","","","","","","","","",""
"2016-10-09","","","45137.94","","","","","","","","","","","","","","","","","",""
"2016-10-10","15630","","48902.18","","","","","","","","","","","","","","","","","",""
"2016-10-11","15385","","48173.1","","","","","","","","","","","","","","","","","",""
"2016-10-12","15240","","49546.76","","","","","","","","","","","","","","","","","",""
"2016-10-13","14940","","50753.53","","","","","","","","","","","","","","","","","",""
"2016-10-14","15060","","49625.98","","","","","","","","","","","","","","","","","",""
"2016-10-15","","","47646.86","","","","","","","","","","","","","","","","","",""
"2016-10-16","","","53140.21","","","","","","","","","","","","","","","","","",""
"2016-10-17","15165","","53058.26","","","","","","","","","","","","","","","","","",""
"2016-10-18","15080","","53751.88","","","","","","","","","","","","","","","","","",""
"2016-10-19","14825","","47713.51","","","","","","","","","","","","","","","","","",""
"2016-10-20","15005","","52850.02","","","","","","","","","","","","","","","","","",""
"2016-10-21","14840","","52683.85","","","","","","","","","","","","","","","","","",""
"2016-10-22","","","55799.39","","","","","","","","","","","","","","","","","",""
"2016-10-23","","","54317.86","","","","","","","","","","","","","","","","","",""
"2016-10-24","14780","","51306.7","","","","","","","","","","","","","","","","","",""
"2016-10-25","15085","","52873.08","","","","","","","","","","","","","","","","","",""
"2016-10-26","14925","","52475.2","","","","","","","","","","","","","","","","","",""
"2016-10-27","15325","","55185.45","","","","","","","","","","","","","","","","","",""
"2016-10-28","15195","","54744.69","","","","","","","","","","","","","","","","","",""
"2016-10-29","","","52778.49","","","","","","","","","","","","","","","","","",""
"2016-10-30","","","55550.11","","","","","","","","","","","","","","","","","",""
"2016-10-31","15380","","53084.48","102.69","199.29","112.03","21","0.1","35.5","4.5","58.2","48.1","0","","","","","","64.5","",""
"2016-11-01","15125","","53360.05","","","","","","","","","","","","","","","","","",""
"2016-11-02","14920","","56204.5","","","","","","","","","","","","","","","","","",""
"2016-11-03","15240","","55437.13","","","","","","","","","","","","","","","","","",""
"2016-11-04","15230","","53874.67","","","","","","","","","","","","","","","","","",""
"2016-11-05","","","46540.97","","","","","","","","","","","","","","","","","",""
"2016-11-06","","","51940.82","","","","","","","","","","","","","","","","","",""
"2016-11-07","15335","","54021.16","","","","","","","","","","","","","","","","","",""
"2016-11-08","15205","","54406.46","","","","","","","","","","","","","","","","","",""
"2016-11-09","15300","","52079.41","","","","","","","","","","","","","","","","","",""
"2016-11-10","15595","","51368.14","","","","","","","","","","","","","","","","","",""
"2016-11-11","16270","","56821.97","","","","","","","","","","","","","","","","","",""
"2016-11-12","","","64943.5","","","","","","","","","","","","","","","","","",""
"2016-11-13","","","52193.05","","","","","","","","","","","","","","","","","",""
"2016-11-14","15200","","52698.35","","","","","","","","","","","","","","","","","",""
"2016-11-15","15330","","53491.68","","","","","","","","","","","","","","","","","",""
"2016-11-16","15895","","55701.09","","","","","","","","","","","","","","","","","",""
"2016-11-17","16130","","49632.31","","","","","","","","","","","","","","","","","",""
"2016-11-18","16050","","47073.43","","","","","","","","","","","","","","","","","",""
"2016-11-19","","","47180.33","","","","","","","","","","","","","","","","","",""
"2016-11-20","","","46502.35","","","","","","","","","","","","","","","","","",""
"2016-11-21","16380","","44348.75","","","","","","","","","","","","","","","","","",""
"2016-11-22","16265","","34532.07","","","","","","","","","","","","","","","","","",""
"2016-11-23","16090","","31670.31","","","","","","","","","","","","","","","","","",""
"2016-11-24","16060","","37727.93","","","","","","","","","","","","","","","","","",""
"2016-11-25","15670","","40181.81","","","","","","","","","","","","","","","","","",""
"2016-11-26","","","42933.17","","","","","","","","","","","","","","","","","",""
"2016-11-27","","","39972","","","","","","","","","","","","","","","","","",""
"2016-11-28","16255","","39688.54","","","","","","","","","","","","","","","","","",""
"2016-11-29","16000","","39010.49","","","","","","","","","","","","","","","","","",""
"2016-11-30","15840","","38557.75","103.28","200.19","111.99","21","0.1","35.5","4.5","58.2","48.1","0","","","","","","56.8","",""
"2016-12-01","15895","","38867.94","","","","","","","","","","","","","","","","","",""
"2016-12-02","15670","","36424.24","","","","","","","","","","","","","","","","","",""
"2016-12-03","","","37254.39","","","","","","","","","","","","","","","","","",""
"2016-12-04","","","36038.91","","","","","","","","","","","","","","","","","",""
"2016-12-05","15730","","37309.67","","","","","","","","","","","","","","","","","",""
"2016-12-06","15800","","36094.32","","","","","","","","","","","","","","","","","",""
"2016-12-07","15890","","36223.25","","","","","","","","","","","","","","","","","",""
"2016-12-08","15700","","33648.8","","","","","","","","","","","","","","","","","",""
"2016-12-09","15705","","33940.74","","","","","","","","","","","","","","","","","",""
"2016-12-10","","","32403.41","","","","","","","","","","","","","","","","","",""
"2016-12-11","","","31431.2","","","","","","","","","","","","","","","","","",""
"2016-12-12","15860","","29853.35","","","","","","","","","","","","","","","","","",""
"2016-12-13","16135","","26708.02","","","","","","","","","","","","","","","","","",""
"2016-12-14","15785","","25733.98","","","","","","","","","","","","","","","","","",""
"2016-12-15","15810","","24278.51","","","","","","","","","","","","","","","","","",""
"2016-12-16","15735","","25324.56","","","","","","","","","","","","","","","","","",""
"2016-12-17","","","22755.65","","","","","","","","","","","","","","","","","",""
"2016-12-18","","","21707.75","","","","","","","","","","","","","","","","","",""
"2016-12-19","15425","","24782.51","","","","","","","","","","","","","","","","","",""
"2016-12-20","14905","","19408.76","","","","","","","","","","","","","","","","","",""
"2016-12-21","15110","","18614.28","","","","","","","","","","","","","","","","","",""
"2016-12-22","15150","","18632.04","","","","","","","","","","","","","","","","","",""
"2016-12-23","15150","","18932.88","","","","","","","","","","","","","","","","","",""
"2016-12-24","","","17000.67","","","","","","","","","","","","","","","","","",""
"2016-12-25","","","14665.9","","","","","","","","","","","","","","","","","",""
"2016-12-26","14780","","14638.63","","","","","","","","","","","","","","","","","",""
"2016-12-27","14900","","15071.75","","","","","","","","","","","","","","","","","",""
"2016-12-28","14835","","11728.45","","","","","","","","","","","","","","","","","",""
"2016-12-29","14935","","12993.4","","","","","","","","","","","","","","","","","",""
"2016-12-30","15030","","11698.05","","","","","","","","","","","","","","","","","",""
"2016-12-31","","","10894.34","104.24","201.03","111.91","21","0.1","35.75","4.5","58.2","47.85","0","","","","","","64","",""
