date,close,初榨棕榈油：产量：马来西亚（月）,棕榈仁油：产量：马来西亚（月）,棕榈仁油：出油率：马来西亚（月）,棕榈油：出油率：马来西亚（月）,棕榈油：单产：马来西亚（月）,印尼棕榈油协会：棕榈油：期初库存（月）,印尼棕榈油协会：毛棕榈仁油：产量（月）,印尼棕榈油协会：毛棕榈油：产量（月）,印尼棕榈油协会：棕榈油：产量（月）,印尼棕榈油协会：棕榈油：消费量（月）,印尼棕榈油协会：棕榈油：需求量（月）,印尼棕榈油协会：棕榈油：期末库存（月）,马来西亚棕榈油局：初榨棕榈油：炼油厂：产量：马来西亚（月）,马来西亚棕榈油局：毛棕榈仁油：炼油厂：产量：马来西亚（月）,马来西亚棕榈油局：初榨棕榈油：提取率：马来西亚（月）,马来西亚棕榈油局：毛棕榈仁油：提取率：马来西亚（月）,马来西亚棕榈油局：棕榈油：精炼厂：产能：马来西亚（月）,马来西亚棕榈油局：棕榈油：化工生产企业：产能：马来西亚（月）,马来西亚棕榈油局：初榨棕榈油：平均产量：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：RBD：24度：产量：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：RBD：44度：产量：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：RBD：产量：马来西亚（月）,马来西亚棕榈油局：棕榈液油：24度：产量：马来西亚（月）,马来西亚棕榈油局：棕榈油硬脂：44度：产量：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：烹饪用：产量：马来西亚（月）,马来西亚棕榈油局：棕榈油脂肪酸：产量：马来西亚（月）,马来西亚棕榈油局：初榨棕榈油：产量：马来西亚（月）,马来西亚棕榈油局：毛棕榈仁油：产量：马来西亚（月）,棕榈油：24度：成交量合计（日）,USDA：棕榈油：非食用级加工使用量（月）,USDA：棕榈油：食品级加工使用量（月）,USDA：棕榈油：精炼：加工使用量（月）,USDA：棕榈仁油：精炼：加工使用量（月）,棕榈油：库存：中国（周）,精炼棕榈仁油：库存：马来西亚（月）,精炼棕榈油：库存：马来西亚（月）,毛棕榈仁油：库存：马来西亚（月）,初榨棕榈油：库存：马来西亚（月）,棕榈仁油：库存：马来西亚（月）,棕榈油：库存：马来西亚（月）,USDA：棕榈油：精炼：期末库存（月）,USDA：棕榈仁油：精炼：期末库存（月）,马来西亚棕榈油局：精炼棕榈油：RBD：24度：库存：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：RBD：44度：库存：马来西亚（月）,马来西亚棕榈油局：棕榈液油：24度：库存：马来西亚（月）,马来西亚棕榈油局：棕榈油硬脂：44度：库存：马来西亚（月）,马来西亚棕榈油局：棕榈油脂肪酸：库存：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：烹饪用：库存：马来西亚（月）,马来西亚棕榈油局：精炼棕榈油：RBD：库存：马来西亚（月）
"2016-02-05","4834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7","","","","","","","","","","","","","","",""
"2016-02-15","4998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-16","4988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","",""
"2016-02-17","4970","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","","","","","","","","",""
"2016-02-18","5000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-02-19","5034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","100.85","","","","","","","","","","","","","","",""
"2016-02-22","5072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2016-02-23","5010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-02-24","4902","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000","","","","","","","","","","","","","","","","","","","",""
"2016-02-25","4926","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","","","","","","","","",""
"2016-02-26","4934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","99.74","","","","","","","","","","","","","","",""
"2016-02-29","4948","1042904","116975","45.69","19.96","0.2","","","","","","","","","","","","","","","","","","","","","","","","200","","","","","","115193","918300","129460","1250498","244653","2168798","","","","","","","","",""
"2016-03-01","4952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-03-02","4918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2300","","","","","","","","","","","","","","","","","","","",""
"2016-03-03","4962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-03-04","5054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400","","","","","100.06","","","","","","","","","","","","","","",""
"2016-03-07","5112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","",""
"2016-03-08","5102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","","","","","","","","",""
"2016-03-09","5142","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","","","","","","","","","","","","","","","","","","","",""
"2016-03-10","5070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","",""
"2016-03-11","5118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","102.75","","","","","","","","","","","","","","",""
"2016-03-14","5208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-03-15","5178","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2600","","","","","","","","","","","","","","","","","","","",""
"2016-03-16","5172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","","","","","","","","","","","","","","","","","","","",""
"2016-03-17","5316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5100","","","","","","","","","","","","","","","","","","","",""
"2016-03-18","5344","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","104.35","","","","","","","","","","","","","","",""
"2016-03-21","5384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","","","","","","","","","","","","","","","","","","","",""
"2016-03-22","5460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6400","","","","","","","","","","","","","","","","","","","",""
"2016-03-23","5410","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","","","","","","","","",""
"2016-03-24","5354","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","","","","","","","","","","","","","","","","","","","",""
"2016-03-25","5484","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2100","","","","","104.26","","","","","","","","","","","","","","",""
"2016-03-28","5488","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-03-29","5540","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-03-30","5506","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","","","","","","","","",""
"2016-03-31","5528","1219449","145595","45.85","20.15","0.23","","","","","","","","","","","","","","","","","","","","","","","","1100","","","","","","109418","930219","129295","954845","238713","1885064","","","","","","","","",""
"2016-04-01","5584","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000","","","","","99.13","","","","","","","","","","","","","","",""
"2016-04-05","5602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-04-06","5518","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","","","","","","","","","","","","","","","","","","","",""
"2016-04-07","5534","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000","","","","","","","","","","","","","","","","","","","",""
"2016-04-08","5462","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3300","","","","","100.4","","","","","","","","","","","","","","",""
"2016-04-11","5434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2200","","","","","","","","","","","","","","","","","","","",""
"2016-04-12","5450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000","","","","","","","","","","","","","","","","","","","",""
"2016-04-13","5516","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-04-14","5548","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2016-04-15","5522","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4100","","","","","94.75","","","","","","","","","","","","","","",""
"2016-04-18","5582","","","","","","","","","","","","","","","","","","","","","","","","","","","","","520","","","","","","","","","","","","","","","","","","","",""
"2016-04-19","5686","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","","","","","","","","","","","","","","","","","","","",""
"2016-04-20","5766","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","","","","","","","","","","","","","","","","","","","",""
"2016-04-21","5846","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
"2016-04-22","5700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3700","","","","","84.32","","","","","","","","","","","","","","",""
"2016-04-25","5684","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1020","","","","","","","","","","","","","","","","","","","",""
"2016-04-26","5662","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4750","","","","","","","","","","","","","","","","","","","",""
"2016-04-27","5618","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1600","","","","","","","","","","","","","","","","","","","",""
"2016-04-28","5462","","","","","","","","","","","","","","","","","","","","","","","","","","","","","840","","","","","","","","","","","","","","","","","","","",""
"2016-04-29","5450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5450","","","","","75.02","","","","","","","","","","","","","","",""
"2016-04-30","","1301291","148928","45.95","20.23","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110895","829630","108630","970571","219525","1800201","","","","","","","","",""
"2016-05-03","5440","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-05-04","5444","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3800","","","","","","","","","","","","","","","","","","","",""
"2016-05-05","5458","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","",""
"2016-05-06","5352","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100","","","","","70.8","","","","","","","","","","","","","","",""
"2016-05-09","5506","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-05-10","5488","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","","","","","","","","","","","","","","","","","","","",""
"2016-05-11","5544","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","","","","","","","","","","","","","","","","","","","",""
"2016-05-12","5378","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5500","","","","","","","","","","","","","","","","","","","",""
"2016-05-13","5214","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1280","","","","","65.86","","","","","","","","","","","","","","",""
"2016-05-16","5176","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800","","","","","","","","","","","","","","","","","","","",""
"2016-05-17","5268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300","","","","","","","","","","","","","","","","","","","",""
"2016-05-18","5174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-05-19","5112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2400","","","","","","","","","","","","","","","","","","","",""
"2016-05-20","5146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","67.21","","","","","","","","","","","","","","",""
"2016-05-23","4990","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-05-24","5058","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-05-25","5074","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","",""
"2016-05-26","5208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","","","","","","","","","","","","","","","","","","","",""
"2016-05-27","5228","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","56.14","","","","","","","","","","","","","","",""
"2016-05-30","5284","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
"2016-05-31","5204","1364583","153826","45.96","19.7","0.25","","","","","","","","","","","","","","","","","","","","","","","","0","21167","161791","182958","41046","","120305","761315","116804","884285","237109","1645600","449054","116127","","","","","","",""
"2016-06-01","5246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","",""
"2016-06-02","5312","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-06-03","5366","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","52.5","","","","","","","","","","","","","","",""
"2016-06-06","5394","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","",""
"2016-06-07","5490","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"2016-06-08","5394","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1700","","","","","","","","","","","","","","","","","","","",""
"2016-06-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.47","","","","","","","","","","","","","","",""
"2016-06-13","5250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4400","","","","","","","","","","","","","","","","","","","",""
"2016-06-14","5170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","","","","","","","","","","","","","","","","","","","",""
"2016-06-15","5086","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2800","","","","","","","","","","","","","","","","","","","",""
